train/episode,stats_o/mean,test/success_rate,test/mean_Q,stats_g/std,train/success_rate,stats_o/std,epoch,test/episode,stats_g/mean
20.0,0.14413641,0.0,-1.3481089,0.702662,0.0,0.6232174,0,20.0,-0.06687933
40.0,0.08722792,1.0,-0.9170707,0.75435805,0.0,0.7603614,1,40.0,-0.11400715
60.0,0.04506855,1.0,-1.0221012,0.7528195,0.0,0.7913887,2,60.0,-0.14650573
80.0,0.024259647,1.0,-1.3849579,0.7483039,0.0,0.7949018,3,80.0,-0.1617458
100.0,0.011514076,1.0,-1.4407717,0.74288625,0.0,0.7941142,4,100.0,-0.1712666
120.0,0.002483028,1.0,-1.3173335,0.7378662,0.0,0.7915116,5,120.0,-0.17641121
140.0,-0.0035594653,1.0,-1.1618392,0.7330342,0.0,0.79081494,6,140.0,-0.18093364
160.0,-0.0077793575,1.0,-1.188123,0.7292619,0.0,0.7883146,7,160.0,-0.18392484
180.0,-0.010855182,1.0,-1.1803768,0.725169,0.0,0.7863125,8,180.0,-0.18748657
200.0,-0.013785417,1.0,-0.9999609,0.72327614,0.0,0.78499025,9,200.0,-0.18948956
220.0,-0.015486387,1.0,-0.89407414,0.7217826,0.0,0.78356296,10,220.0,-0.19065134
240.0,-0.017203517,1.0,-0.96821326,0.72003907,0.0,0.7831622,11,240.0,-0.19242491
260.0,-0.019287216,1.0,-1.0645825,0.71793705,0.0,0.78213644,12,260.0,-0.19373399
280.0,-0.020992333,0.0,-1.0331068,0.7170358,0.0,0.78025323,13,280.0,-0.19503163
300.0,-0.022216292,0.0,-1.2167101,0.71526486,0.0,0.77912766,14,300.0,-0.19632395
320.0,-0.023412282,1.0,-1.0568336,0.7130415,0.0,0.77820987,15,320.0,-0.19747092
340.0,-0.024133287,1.0,-1.1013482,0.71128875,0.0,0.77696663,16,340.0,-0.19820285
360.0,-0.02571399,1.0,-1.2940727,0.7097287,0.0,0.7755998,17,360.0,-0.19931729
380.0,-0.026289506,1.0,-1.4524599,0.7088364,0.0,0.77457064,18,380.0,-0.19961464
400.0,-0.026389116,1.0,-1.7403733,0.7075739,0.0,0.7740647,19,400.0,-0.19974004
420.0,-0.027025662,1.0,-2.0364888,0.707592,0.0,0.7733946,20,420.0,-0.19990157
440.0,-0.027742619,1.0,-2.3635082,0.70643574,0.0,0.77302265,21,440.0,-0.20038885
460.0,-0.02813933,0.0,-2.6427355,0.7064964,0.0,0.7726226,22,460.0,-0.2003929
480.0,-0.0284182,1.0,-3.1623218,0.7060873,0.0,0.7717905,23,480.0,-0.20031656
500.0,-0.028458036,0.0,-3.369075,0.7050151,0.0,0.77078503,24,500.0,-0.20023632
520.0,-0.027983634,0.0,-3.7292335,0.70444244,0.0,0.7703795,25,520.0,-0.20032896
540.0,-0.028230727,0.0,-3.958728,0.7028241,0.0,0.7692513,26,540.0,-0.20055096
560.0,-0.028401474,0.0,-4.1526732,0.70291394,0.0,0.76896304,27,560.0,-0.20058537
580.0,-0.028493568,0.0,-4.770406,0.7027552,0.0,0.7684083,28,580.0,-0.2004857
600.0,-0.028639033,0.0,-4.806205,0.7021291,0.0,0.76783234,29,600.0,-0.20059778
