stats_o/std,test/mean_Q,train/success_rate,stats_g/std,epoch,stats_o/mean,train/episode,stats_g/mean,test/episode,test/success_rate
0.6232174,-1.3481089,0.0,0.702662,0,0.14413641,20.0,-0.06687933,20.0,0.0
0.7603614,-0.9170707,0.0,0.75435805,1,0.08722792,40.0,-0.11400715,40.0,1.0
0.7913887,-1.0221012,0.0,0.7528195,2,0.04506855,60.0,-0.14650573,60.0,1.0
0.79484385,-1.3986963,0.0,0.74828404,3,0.024155408,80.0,-0.16180791,80.0,1.0
0.7941304,-1.3285438,0.0,0.74292403,4,0.011829096,100.0,-0.17100824,100.0,1.0
0.7917466,-1.3152714,0.0,0.7380285,5,0.0029227298,120.0,-0.17606598,120.0,1.0
0.7908661,-1.1777967,0.0,0.7330763,6,-0.0027057258,140.0,-0.18027174,140.0,1.0
0.78840476,-1.2197168,0.0,0.72932416,7,-0.007421033,160.0,-0.18365175,160.0,0.0
0.78635913,-1.1838968,0.0,0.7252204,8,-0.010534409,180.0,-0.18722837,180.0,1.0
0.7849419,-1.0580028,0.0,0.72327226,9,-0.013386808,200.0,-0.18918024,200.0,1.0
0.78366894,-1.0925181,0.0,0.72186494,10,-0.014952297,220.0,-0.19023728,220.0,1.0
0.78335667,-1.1565652,0.0,0.72018,11,-0.016784633,240.0,-0.19211738,240.0,0.0
0.78210974,-1.048839,0.0,0.717926,12,-0.018864539,260.0,-0.19341753,260.0,1.0
0.780333,-1.2832184,0.0,0.7170882,13,-0.020498382,280.0,-0.19466631,280.0,1.0
0.779222,-1.2890208,0.0,0.715328,14,-0.021524226,300.0,-0.19580704,300.0,1.0
0.7783089,-1.3771849,0.0,0.7131066,15,-0.022595922,320.0,-0.19684726,320.0,1.0
0.7769405,-1.5598062,0.0,0.7112715,16,-0.023384957,340.0,-0.19763273,340.0,0.0
0.77536315,-1.8517061,0.0,0.7095913,17,-0.024850188,360.0,-0.19864736,360.0,0.0
0.7743295,-2.0800443,0.0,0.70868045,18,-0.025490671,380.0,-0.19900274,380.0,1.0
0.7739127,-2.5070453,0.0,0.7074783,19,-0.02577635,400.0,-0.19927257,400.0,0.0
0.7732343,-2.8922412,0.0,0.70750546,20,-0.026355932,420.0,-0.19939132,420.0,1.0
0.7728307,-3.169328,0.0,0.7063311,21,-0.02691642,440.0,-0.1997331,440.0,0.0
0.77235055,-3.5784981,0.0,0.70634586,22,-0.027153626,460.0,-0.19962327,460.0,0.0
0.7712528,-3.9483597,0.0,0.70579916,23,-0.026938893,480.0,-0.19917434,480.0,0.0
0.7699991,-4.534948,0.0,0.7045799,24,-0.026850857,500.0,-0.19900775,500.0,0.0
0.7693615,-5.052344,0.0,0.7044037,25,-0.024665006,520.0,-0.19770779,520.0,0.0
0.77463055,-5.5376763,0.0,0.7111315,26,-0.018333433,540.0,-0.19257043,540.0,0.0
0.77941066,-6.021833,0.0,0.71784526,27,-0.012348131,560.0,-0.18776037,560.0,0.0
0.7824319,-6.490949,0.0,0.7228134,28,-0.00675113,580.0,-0.18317698,580.0,0.0
0.78434604,-6.9857,0.0,0.7263101,29,-0.00176834,600.0,-0.17919797,600.0,0.0
0.7856906,-7.4569535,0.0,0.72953635,30,0.0030989398,620.0,-0.17527078,620.0,0.0
0.7864814,-7.9565444,0.0,0.7322173,31,0.00718053,640.0,-0.17202765,640.0,0.0
0.78657454,-8.387129,0.0,0.734139,32,0.010626335,660.0,-0.1692925,660.0,0.0
