stats_o/std,train/success_rate,stats_o/mean,test/mean_Q,epoch,test/success_rate,train/episode,stats_g/mean,test/episode,stats_g/std
1.0871459,0.0,0.11586993,-0.7194516,0,1.0,20.0,-0.09824904,20.0,1.0443121
1.0860362,0.0,0.06549878,-0.35483113,1,0.0,40.0,-0.13890144,40.0,1.0179554
1.0758878,0.0,0.043136846,-0.1602498,2,0.0,60.0,-0.15245228,60.0,1.0019417
1.0713489,0.0,0.0345519,-0.2500159,3,1.0,80.0,-0.1576036,80.0,0.9965002
1.0681288,0.0,0.029572943,-0.11866031,4,1.0,100.0,-0.16113684,100.0,0.9912643
1.0666194,0.0,0.027094685,-0.056965012,5,1.0,120.0,-0.16089232,120.0,0.9893637
1.0659468,0.0,0.023598304,-0.03995653,6,1.0,140.0,-0.16242261,140.0,0.98608834
1.0641259,0.0,0.021534808,0.005255996,7,0.0,160.0,-0.16391237,160.0,0.984356
1.0622455,0.0,0.02141162,-0.013295203,8,0.0,180.0,-0.16529411,180.0,0.9817378
1.0613948,0.0,0.020773416,0.017821498,9,0.0,200.0,-0.16539915,200.0,0.9801652
