epoch,test/episode,stats_o/std,stats_o/mean,stats_g/std,test/mean_Q,test/success_rate,train/success_rate,stats_g/mean,train/episode
0,20.0,0.85476905,0.032509528,0.8563121,-0.9916598,1.0,0.0,0.0059761778,20.0
1,40.0,0.90795445,0.027445162,0.8761739,-0.8696518,1.0,0.0,-0.004100129,40.0
2,60.0,0.9211047,0.022562964,0.8800755,-1.2160308,1.0,0.0,-0.008305147,60.0
3,80.0,0.92455673,0.01804209,0.8805464,-1.3956118,1.0,0.008333333333333333,-0.01407285,80.0
4,100.0,0.929002,0.017639233,0.88208866,-1.2906836,1.0,0.0,-0.015760407,100.0
5,120.0,0.93045354,0.01655618,0.8834179,-1.206576,1.0,0.0,-0.01651436,120.0
6,140.0,0.9328757,0.016261682,0.88194585,-1.2063019,1.0,0.0,-0.017178774,140.0
7,160.0,0.9352801,0.017268553,0.8826525,-0.89963007,1.0,0.0,-0.018593296,160.0
8,180.0,0.93600726,0.015257359,0.8821027,-0.91425437,1.0,0.0,-0.02018924,180.0
9,200.0,0.9369909,0.01651262,0.88233185,-0.8683691,1.0,0.0,-0.018610597,200.0
