stats_g/mean,stats_o/std,test/success_rate,stats_g/std,stats_o/mean,train/episode,train/success_rate,test/episode,test/mean_Q,epoch
-0.0033910796,0.8531615,1.0,0.8539382,0.021769974,20.0,0.0,20.0,-0.9328639,0
-0.010103956,0.90640974,1.0,0.87201786,0.018744571,40.0,0.0,40.0,-0.92018354,1
-0.009486705,0.918922,1.0,0.87398475,0.017267771,60.0,0.0,60.0,-1.4300827,2
-0.0150351375,0.92401844,1.0,0.8763913,0.012626277,80.0,0.0,80.0,-1.5987623,3
-0.01698701,0.9290801,1.0,0.87828225,0.013953345,100.0,0.0,100.0,-1.5355594,4
-0.017416656,0.9313761,1.0,0.88190675,0.011999713,120.0,0.0,120.0,-1.2958257,5
-0.01750505,0.9339469,1.0,0.8804887,0.01070434,140.0,0.0,140.0,-1.1949223,6
-0.019176155,0.93596715,1.0,0.8806914,0.012121616,160.0,0.0,160.0,-1.1230743,7
-0.019937217,0.93648934,1.0,0.8803853,0.010999775,180.0,0.0,180.0,-1.0130384,8
-0.01808533,0.937617,1.0,0.8816147,0.012270795,200.0,0.0,200.0,-1.0988048,9
-0.018097162,0.93794465,1.0,0.88115495,0.013697321,220.0,0.0,220.0,-0.96558267,10
-0.016885981,0.9375557,1.0,0.8801093,0.01414812,240.0,0.0,240.0,-0.91920376,11
-0.016925037,0.9378693,1.0,0.8799554,0.014242763,260.0,0.0,260.0,-0.97730577,12
-0.016950175,0.93844527,1.0,0.87911415,0.014321508,280.0,0.0,280.0,-0.88916194,13
-0.017065823,0.9388582,1.0,0.8793265,0.0139418375,300.0,0.0,300.0,-0.9403076,14
-0.016624123,0.93868613,1.0,0.8787999,0.014753686,320.0,0.0,320.0,-0.86679256,15
