stats_o/std,test/success_rate,stats_o/mean,train/success_rate,train/episode,test/mean_Q,epoch,stats_g/mean,stats_g/std,test/episode
1.1955354,0.0,-0.26750553,0.0,20.0,-1.7713315,0,-0.15341249,1.0366856,20.0
1.1516228,0.05,-0.14698896,0.0,40.0,-1.6206057,1,-0.045938447,1.0139704,40.0
1.1753857,0.0,-0.047192026,0.0,60.0,-1.969353,2,0.00549444,1.0090888,60.0
1.2006726,0.25,-0.035301458,0.0,80.0,-1.9036286,3,-0.020161305,1.0270274,80.0
1.189549,0.5,-0.009622073,0.0,100.0,-1.8396256,4,-0.015914591,1.0158956,100.0
1.1779238,0.6,-0.0031974353,0.0,120.0,-2.2245288,5,-0.013601233,1.0101085,120.0
1.1755614,0.9,0.012695492,0.0,140.0,-1.8022852,6,0.0086724935,1.0032508,140.0
1.1534141,0.75,0.0063211704,0.0,160.0,-2.1722956,7,0.011484541,0.9883383,160.0
1.1470017,1.0,0.0018613166,0.0,180.0,-1.9848137,8,0.010810261,0.98283964,180.0
1.1357133,1.0,-0.0036775449,0.0,200.0,-1.7367531,9,0.0078480905,0.971823,200.0
1.1247964,1.0,-0.008668551,0.0,220.0,-1.812454,10,-0.019280229,0.9627205,220.0
1.1234713,0.95,0.002911109,0.0,240.0,-2.2376795,11,-0.016452603,0.96637857,240.0
1.1158247,0.95,0.004851153,0.0,260.0,-2.0967898,12,-0.0039768876,0.9619868,260.0
1.1047261,1.0,-0.00073464867,0.0,280.0,-2.0995603,13,-0.00026365183,0.95289266,280.0
1.1039586,1.0,-0.0046224855,0.0,300.0,-2.3767078,14,-0.009879367,0.95136964,300.0
1.1067798,1.0,-0.0023490349,0.0,320.0,-2.3596408,15,-0.009650962,0.954849,320.0
1.1002651,1.0,-0.0042642467,0.0,340.0,-2.2723207,16,-0.012788463,0.9519218,340.0
1.0961771,1.0,-0.009049889,0.0,360.0,-2.243283,17,-0.015651353,0.95358753,360.0
1.0950773,0.8,-0.015213265,0.0,380.0,-2.3991504,18,-0.019908352,0.95427394,380.0
1.091994,0.9,-0.017732557,0.0,400.0,-2.1642394,19,-0.022029307,0.9520381,400.0
1.0868278,1.0,-0.01908114,0.0,420.0,-2.745507,20,-0.019836487,0.9493699,420.0
1.0851866,0.95,-0.02160076,0.0,440.0,-2.9834445,21,-0.018935911,0.94621414,440.0
1.0778741,1.0,-0.025919225,0.0,460.0,-2.6112113,22,-0.016351309,0.94098043,460.0
1.0769502,1.0,-0.019871337,0.0,480.0,-2.4013896,23,-0.013581693,0.93857193,480.0
1.0748401,1.0,-0.021912381,0.0,500.0,-2.3985116,24,-0.015042137,0.9391466,500.0
1.0701042,1.0,-0.02919313,0.0,520.0,-2.9784503,25,-0.02373185,0.9366337,520.0
1.065852,0.9,-0.03449539,0.0,540.0,-2.307528,26,-0.029401885,0.9352036,540.0
1.0642128,0.85,-0.045481108,0.0,560.0,-2.433277,27,-0.04139239,0.9349808,560.0
1.0630426,0.7,-0.043804646,0.0,580.0,-3.1188092,28,-0.039239813,0.9314724,580.0
1.0615472,0.9,-0.044376984,0.0,600.0,-2.5896823,29,-0.037831284,0.9302932,600.0
