test number,default params(ep),ga params(ep),default runtime(s),ga runtime(s),ga params(steps)  default params(steps)
1,280,260,80.37,77.79,44000 68000
2,320,220,81.24,64.11,36000 68000
3,260,200,132.69,58.92,44000 60000
4,460,220,80.49,63.68,52000 64000
5,360,260,80.79,77.43,48000 68000
6,340,200,92.53,58.66,44000 68000
7,300,240,86.23,69.69,52000 60000
8,320,240,91.19,69.44,48000 52000
9,280,240,115.38,70.53,48000 76000
10,280,200,91.67,57.93,44000 72000
11,460,200,88.32,58.35,44000 80000
12,280,220,93.34,63.62,44000 64000
13,280,200,116.72,58.81,40000 76000
14,320,220,85.94,64.42,58000 60000
15,300,240,103.76,69.51,48000 68000
16,320,240,86.62,70.15,48000 68000
17,400,260,93.28,76.59,48000 72000
18,320,260,99.07,70.34,48000 68000
19,300,220,155.35,63.84,56000 68000
20,320,220,80.53,63.93,40000 68000
,,,,,
average,325,228,96.7755,66.387,46700 67400
,,,,,
,Using only actions,,,,
