train/success_rate,stats_g/mean,test/success_rate,stats_g/std,train/episode,epoch,test/reward,stats_o/std,test/episode,train/reward,test/mean_Q,stats_o/mean
0.0,0.014654648,0.0,1.0900441,20.0,0,-629.5792920400684,1.2012001,20.0,-780.1356502493298,-2.4680345,-0.005021859
0.0,-0.020097923,0.0,1.0529982,40.0,1,-733.8133343715632,1.1663258,40.0,-816.5814468289158,-2.8641992,-0.0927995
0.0,-0.023533067,0.0,0.9892402,60.0,2,-903.5989412717212,1.0923808,60.0,-699.7195980889798,-3.1682787,-0.084601894
0.0,-0.036886957,0.0,0.9610168,80.0,3,-514.3841205140224,1.0701318,80.0,-999.6867965208676,-3.1188846,-0.06132704
0.0,-0.03348418,0.0,0.9476904,100.0,4,-761.8092416990942,1.0390418,100.0,-556.5310678067581,-4.500193,-0.056328546
0.0,-0.026384236,0.0,0.93337125,120.0,5,-746.5175413686206,1.0090995,120.0,-721.3475563852171,-5.4337244,-0.05164128
0.0,-0.0044404436,0.05,0.93071544,140.0,6,-243.28875757586803,1.0022862,140.0,-714.2789570611005,-5.03867,-0.036596846
0.0,0.0030676592,0.05,0.9227107,160.0,7,-399.051421891725,0.98832494,160.0,-689.733569038162,-4.8105936,-0.03529829
0.0,0.017549016,0.05,0.9179833,180.0,8,-539.1580069369916,0.97319496,180.0,-618.460457484293,-5.7376447,-0.02473543
0.05,0.022192476,0.65,0.91773605,200.0,9,-130.6110209053448,0.95578516,200.0,-530.6004097555171,-4.0315046,-0.016570391
0.1,0.016695555,0.55,0.91830516,220.0,10,-360.5012477948578,0.9487022,220.0,-398.6507619674796,-4.335451,-0.017864164
0.1,0.022741374,0.5,0.92130923,240.0,11,-406.32582555756477,0.9378684,240.0,-303.6020266024701,-4.3269854,-0.015333224
0.1,0.024190027,0.75,0.9185537,260.0,12,-170.3915969752221,0.92846453,260.0,-337.3467808799106,-3.9105651,-0.019821513
0.35,0.012189245,0.65,0.92054546,280.0,13,-438.2111962249888,0.9194008,280.0,-387.0136332073039,-5.1261086,-0.021357667
0.5,0.0125956405,0.65,0.9214916,300.0,14,-279.43238269258626,0.91138494,300.0,-225.01380481881165,-4.9716105,-0.019564666
0.6,0.0142238755,0.95,0.9209711,320.0,15,-261.64670454435685,0.9007921,320.0,-329.78020172630255,-5.0483084,-0.017841298
0.65,0.010670577,1.0,0.9267652,340.0,16,-177.1143614280696,0.8947421,340.0,-331.13175334529564,-4.4672265,-0.01851406
0.45,0.007517332,1.0,0.9308147,360.0,17,-236.72854309703445,0.8889326,360.0,-301.4613020026437,-3.0524776,-0.01878713
0.75,0.008071652,1.0,0.9316883,380.0,18,-275.71120805967865,0.88243574,380.0,-434.57237656737544,-5.12365,-0.019096024
0.8,0.016557384,1.0,0.932301,400.0,19,-138.40372794170392,0.8763678,400.0,-240.20002029568147,-4.211572,-0.015755283
