stats_o/std,test/success_rate,stats_g/std,test/mean_Q,train/episode,stats_o/mean,epoch,train/success_rate,test/episode,test/reward,stats_g/mean,train/reward
1.4891202,0.0,1.3883276,-2.5042815,20.0,-0.38952172,0,0.0,20.0,-1001.2948422420251,-0.38386595,-1148.1185148993848
1.3590403,0.0,1.2293788,-3.10414,40.0,-0.17493331,1,0.0,40.0,-729.1033525000547,-0.17246059,-735.8465717616771
1.2932568,0.0,1.1643337,-3.7417583,60.0,-0.0624372,2,0.0,60.0,-855.5111952131816,-0.052794386,-861.1630289201139
1.2305493,0.0,1.105185,-4.6691895,80.0,-0.076195896,3,0.0,80.0,-697.5789037622666,-0.04319231,-1115.0737313339678
1.1832627,0.0,1.0689228,-4.3156347,100.0,-0.044230096,4,0.0,100.0,-489.22969902821427,-0.04035297,-892.5317625433971
1.1544785,0.1,1.0374719,-4.710287,120.0,-0.030707952,5,0.0,120.0,-460.60021017020216,-0.05496732,-947.0127328901709
1.1295663,0.0,1.028177,-5.36646,140.0,-0.019893195,6,0.0,140.0,-330.15959473054994,-0.023950059,-799.9590291380825
1.1088312,0.0,1.0019431,-4.4840927,160.0,-0.017642044,7,0.05,160.0,-142.33283109362884,-0.031085022,-725.5778115021612
1.0825232,0.05,0.9861027,-4.522586,180.0,-0.01853136,8,0.05,180.0,-518.6682846202996,-0.016240288,-777.5719068586997
1.0605671,0.15,0.98026305,-5.1968126,200.0,-0.020407457,9,0.0,200.0,-346.68749273222653,-0.035968058,-507.72844518293266
1.0432585,0.3,0.97374225,-4.5450516,220.0,-0.024789877,10,0.1,220.0,-331.0505585262066,-0.039980292,-662.1693216070231
1.0253152,0.6,0.9703561,-4.0077305,240.0,-0.02320965,11,0.25,240.0,-381.55141464761675,-0.04336208,-499.2252043672718
1.0116605,0.45,0.96726096,-4.7467,260.0,-0.024534987,12,0.1,260.0,-183.79260662203507,-0.040143818,-428.4539943731307
1.0004803,0.7,0.9685748,-5.6884656,280.0,-0.022651419,13,0.15,280.0,-196.03245249548613,-0.036194265,-566.2170760650517
0.986432,0.7,0.9662322,-5.0249653,300.0,-0.020543816,14,0.15,300.0,-190.3883056218316,-0.0253461,-324.26912212830194
0.9755681,0.5,0.9645636,-4.603833,320.0,-0.019991124,15,0.25,320.0,-223.50264471030886,-0.024356637,-322.94036419467625
0.9668134,0.3,0.9655447,-3.7722805,340.0,-0.01796872,16,0.3,340.0,-254.75793394548282,-0.0071179653,-374.59789645663625
0.95692843,0.95,0.96452737,-4.765831,360.0,-0.01748527,17,0.35,360.0,-180.17709355959994,-0.0061233006,-314.2434973859021
0.9481797,0.9,0.9655274,-4.31461,380.0,-0.0119754635,18,0.55,380.0,-168.24630811962876,0.0036085863,-228.88247032504196
0.93913877,0.8,0.9668047,-3.7833028,400.0,-0.013417628,19,0.5,400.0,-92.93846128695712,0.0009600967,-201.14955461614437
