stats_g/std,test/mean_Q,test/reward,train/episode,test/episode,stats_g/mean,train/reward,epoch,stats_o/std,stats_o/mean,test/success_rate,train/success_rate
1.2155306,-2.8442008,-1358.8634948807237,20.0,20.0,0.16483735,-938.7786921859291,0,1.269542,0.13762808,0.0,0.0
1.115802,-3.147332,-1148.3888641997464,40.0,40.0,0.19370908,-713.2814255418906,1,1.190382,0.25105497,0.0,0.0
1.0607514,-3.9435077,-709.0721587667958,60.0,60.0,0.09736648,-908.8635466598265,2,1.1440952,0.14529508,0.0,0.0
1.008554,-3.8685384,-742.574766640455,80.0,80.0,0.051743858,-1037.7820755136838,3,1.1107678,0.13519627,0.0,0.0
0.97761196,-3.853276,-610.1167835294897,100.0,100.0,0.0381812,-799.3572313543176,4,1.069849,0.083472416,0.0,0.0
0.9579538,-5.425724,-785.6458083590439,120.0,120.0,0.03054693,-703.3492100654278,5,1.0560292,0.07742615,0.0,0.0
0.9454248,-4.627632,-573.5219796189975,140.0,140.0,0.039368764,-616.0646107144264,6,1.0357254,0.07021079,0.05,0.0
0.9403864,-4.6091104,-484.6720208884983,160.0,160.0,0.038996734,-679.4527138317299,7,1.0165083,0.060389534,0.05,0.0
0.93054634,-4.784084,-363.09489456942623,180.0,180.0,0.017017948,-298.0347597157497,8,0.9961751,0.0432555,0.1,0.05
0.9316236,-5.4587903,-393.43983796388886,200.0,200.0,0.013550568,-403.3434472103899,9,0.9836994,0.0299476,0.35,0.0
0.9284964,-4.2408214,-389.51824519559335,220.0,220.0,0.017037513,-862.5071210127433,10,0.9669385,0.032085136,0.55,0.15
0.928599,-3.889611,-191.10970298762217,240.0,240.0,0.018283024,-300.42961824494733,11,0.9531584,0.032394543,0.75,0.15
0.9261866,-4.590587,-282.4195002803741,260.0,260.0,0.0077234562,-366.6399838533793,12,0.94097924,0.025171984,0.7,0.3
0.9327255,-5.2494135,-266.6385975257933,280.0,280.0,0.0060401484,-428.5318742174113,13,0.9360276,0.021622214,0.95,0.2
0.93310505,-4.3102007,-179.5233630093987,300.0,300.0,-0.003074851,-360.061723578091,14,0.9258086,0.017702725,0.9,0.5
0.93377566,-4.747657,-324.3448819598761,320.0,320.0,-0.00966147,-269.6782698755548,15,0.91620773,0.013997628,1.0,0.55
0.9318801,-3.0815372,-230.32365168177742,340.0,340.0,0.0045028683,-394.9579184291868,16,0.9076935,0.017767742,0.95,0.75
0.9325731,-4.515836,-280.8239812237976,360.0,360.0,-0.0037831804,-196.55840355738468,17,0.9008366,0.012567988,0.95,0.5
0.9364151,-4.340834,-225.78930856185463,380.0,380.0,-0.009100396,-313.3830022984045,18,0.8959728,0.007199414,1.0,0.55
0.9386325,-4.856806,-229.35664041834738,400.0,400.0,-0.0015067942,-286.8587377151016,19,0.8893621,0.0120469695,0.9,0.6
