stats_g/mean,test/success_rate,test/mean_Q,test/episode,stats_o/std,stats_g/std,train/success_rate,train/episode,test/reward,train/reward,epoch,stats_o/mean
-0.07941955,0.0,-2.3048158,20.0,1.2195938,1.1366026,0.0,20.0,-877.3776020070396,-949.9210534705239,0,0.011081282
-0.15237698,0.0,-2.8550086,40.0,1.1790124,1.0312082,0.0,40.0,-736.2924622660347,-1043.2426495192421,1,-0.045639303
-0.10366431,0.0,-3.3117223,60.0,1.1352456,0.9942001,0.0,60.0,-988.5152136941293,-1202.0148744697206,2,-0.029909654
-0.08974913,0.0,-3.4680362,80.0,1.0948498,0.96393067,0.0,80.0,-465.3375357325102,-926.0623215399373,3,-0.035742987
-0.056815077,0.0,-4.458921,100.0,1.0821116,0.945415,0.0,100.0,-751.4585681615225,-1075.9653191690034,4,-0.030065946
-0.072873324,0.0,-4.9599504,120.0,1.0512257,0.9320502,0.0,120.0,-531.222317735046,-682.9694548692421,5,-0.059491925
-0.06410816,0.0,-3.9357047,140.0,1.0359006,0.9226511,0.0,140.0,-651.5985949009249,-620.4019083216004,6,-0.043258145
-0.07270189,0.0,-5.210061,160.0,1.0147734,0.9118453,0.0,160.0,-364.4351202275268,-325.4652438059784,7,-0.056422267
-0.0555393,0.05,-5.3005857,180.0,0.9955553,0.9021199,0.0,180.0,-423.51455250857,-792.8710714695449,8,-0.06252913
-0.05295665,0.35,-3.8276763,200.0,0.9813481,0.90646005,0.0,200.0,-154.66479610523126,-457.68714406793015,9,-0.053689517
-0.062691614,0.4,-4.318476,220.0,0.97413874,0.9136046,0.1,220.0,-241.6512455523563,-776.9059221378063,10,-0.055020705
-0.059202015,0.5,-3.5681515,240.0,0.9650649,0.9213685,0.1,240.0,-192.6781535513928,-793.4699252663377,11,-0.05197809
-0.049835786,0.8,-3.85459,260.0,0.95242,0.92007536,0.3,260.0,-226.26922428437254,-452.5208741697867,12,-0.05463855
-0.041672263,0.65,-3.8054416,280.0,0.9437743,0.9211883,0.4,280.0,-260.72465176462134,-438.76281683693645,13,-0.052024923
-0.03088371,0.85,-4.140408,300.0,0.93447775,0.92808473,0.35,300.0,-434.0747363035957,-399.3404143314002,14,-0.049151875
-0.023344483,0.9,-3.635624,320.0,0.9250572,0.92860675,0.35,320.0,-266.10897422089386,-350.6016691328393,15,-0.042948388
-0.019731497,0.85,-3.494566,340.0,0.9180389,0.93080205,0.55,340.0,-96.47119938629707,-340.5557685719235,16,-0.03933765
-0.02047797,1.0,-3.9459882,360.0,0.90968263,0.9324462,0.5,360.0,-209.21269928047178,-233.72604436848926,17,-0.0384536
-0.031470887,0.8,-3.5221324,380.0,0.9024578,0.9328947,0.6,380.0,-221.00546757777863,-305.0873237874521,18,-0.03911013
-0.030688617,0.85,-4.392907,400.0,0.89521486,0.93400276,0.8,400.0,-348.59804552298846,-188.3537734077182,19,-0.037690364
