stats_o/std,stats_o/mean,stats_g/mean,train/reward,epoch,train/success_rate,stats_g/std,test/reward,test/episode,test/success_rate,test/mean_Q,train/episode
1.4138361,0.06823164,0.0028128624,-1243.6867400096278,0,0.0,1.3052741,-980.6909910053963,20.0,0.0,-2.5347738,20.0
1.3034065,-0.005762676,-0.0040269196,-795.7832522037522,1,0.0,1.1926966,-904.2881129283752,40.0,0.0,-3.1733701,40.0
1.2326314,0.027167447,0.019581847,-861.0067363235806,2,0.0,1.1208575,-721.3993283418528,60.0,0.0,-4.078655,60.0
1.186285,0.013716789,0.009694405,-641.1975923807421,3,0.0,1.0691324,-596.9034430647027,80.0,0.0,-4.3502836,80.0
1.1565818,-0.0048279557,-0.0044626147,-502.45421908171073,4,0.0,1.0508971,-620.9912854327856,100.0,0.0,-5.333161,100.0
1.1185305,-0.010391966,0.0025388673,-808.5350624721098,5,0.0,1.0276352,-677.5041044608663,120.0,0.0,-4.821713,120.0
1.0975571,-0.01311556,-0.002167169,-644.528103694255,6,0.0,1.0048211,-423.1816700604435,140.0,0.0,-4.7457933,140.0
1.082789,-0.013376801,0.00063301995,-547.8614025250482,7,0.0,0.99600446,-511.0421660079327,160.0,0.0,-5.1067133,160.0
1.0595474,-0.0034184055,0.0074136183,-600.5202169813814,8,0.0,0.98550504,-603.2280477037675,180.0,0.1,-5.1728888,180.0
1.0346639,-0.0101430025,-0.007421583,-587.0795782964539,9,0.0,0.9676932,-387.8246551643788,200.0,0.05,-4.424227,200.0
1.0166665,-0.007127706,-0.014597803,-464.06298398582794,10,0.05,0.9626575,-201.90463947756226,220.0,0.4,-4.2198133,220.0
0.99859256,-0.0057319673,-0.019826002,-337.7339211609496,11,0.15,0.9627119,-220.6668443512069,240.0,0.45,-4.007123,240.0
0.9875477,-0.008746356,-0.022197485,-446.5335708036569,12,0.15,0.9623888,-147.41621171366862,260.0,0.65,-4.0125723,260.0
0.9751832,0.002551552,-0.014047518,-748.947855014657,13,0.35,0.9604715,-312.9443066654575,280.0,0.9,-5.1838317,280.0
0.96647334,0.004835334,-0.02034793,-506.493774454887,14,0.25,0.9616711,-276.5430695968256,300.0,0.65,-4.1863494,300.0
0.9528761,0.0010600691,-0.024381692,-255.43383802760744,15,0.4,0.95491666,-86.96313345192321,320.0,0.6,-4.374445,320.0
0.9436264,-0.0014748815,-0.036315016,-157.65926930066732,16,0.55,0.95442545,-97.62411038813491,340.0,0.95,-3.845245,340.0
0.93726176,-0.0021564243,-0.03046648,-235.29204686086624,17,0.45,0.9555472,-195.99444304780886,360.0,0.9,-4.2722883,360.0
0.93005717,-0.001455938,-0.025284475,-513.0287895050204,18,0.5,0.95790726,-65.62112719769081,380.0,0.95,-3.6262622,380.0
0.9226427,0.0010236604,-0.019439902,-188.530309470756,19,0.65,0.95783305,-216.91295860790729,400.0,0.9,-4.641578,400.0
