train/reward,test/reward,test/success_rate,stats_o/mean,stats_o/std,train/success_rate,test/episode,stats_g/std,test/mean_Q,stats_g/mean,train/episode,epoch
-809.5188137119515,-744.1466106391181,0.0,-0.08932091,1.1974204,0.0,20.0,1.0012808,-2.7416768,-0.21804592,20.0,0
-1229.2636669782896,-706.9966537765529,0.0,0.0021535493,1.1803001,0.0,40.0,1.0073245,-3.0186865,-0.060606435,40.0,1
-801.8127214189698,-960.492738748842,0.0,-0.010455643,1.1084809,0.0,60.0,0.97462547,-3.7771983,-0.010224255,60.0,2
-512.5474535639266,-652.1401775361718,0.0,-0.07918483,1.0805483,0.0,80.0,0.9590303,-3.9232688,-0.07586154,80.0,3
-315.8517840192629,-632.1164124433673,0.0,-0.050773837,1.0440426,0.0,100.0,0.93818104,-4.503198,-0.043517854,100.0,4
-802.8798562232982,-606.8712352747558,0.0,-0.036812928,1.0247295,0.0,120.0,0.9266486,-4.3328447,-0.009170925,120.0,5
-741.4261709910251,-612.34977694111,0.0,-0.021007018,1.0081209,0.0,140.0,0.9188516,-4.6740737,0.007944152,140.0,6
-231.93043914670207,-516.7253565449186,0.3,-0.019507332,0.99347264,0.0,160.0,0.9222098,-3.7366207,-0.007390933,160.0,7
-904.3255011638842,-208.21455822392093,0.25,-0.02853167,0.9729878,0.05,180.0,0.90730894,-3.998059,-0.007996169,180.0,8
-522.0798414410285,-337.20643068416354,0.45,-0.020586211,0.9634804,0.05,200.0,0.9126841,-4.190924,-0.011553854,200.0,9
-378.14449110410044,-560.764165649275,0.45,-0.026795655,0.95302886,0.15,220.0,0.91086465,-4.778115,-0.0060436325,220.0,10
-384.23705217898925,-448.0702557816569,0.85,-0.025005437,0.9394884,0.4,240.0,0.9108422,-5.5292535,0.000442544,240.0,11
-357.6193893608128,-197.52218400914282,0.95,-0.022141213,0.92743814,0.3,260.0,0.9098033,-3.9080014,0.010521946,260.0,12
-333.2575760073153,-419.0409207352084,0.95,-0.020287339,0.9150716,0.45,280.0,0.90754426,-4.481229,0.0070919823,280.0,13
-164.630335001752,-220.6262043082274,1.0,-0.019296171,0.9088996,0.6,300.0,0.9179313,-4.1459303,-0.0029618405,300.0,14
-178.30278004091602,-342.60042599082584,1.0,-0.021452129,0.89900887,0.65,320.0,0.9164666,-4.6652074,-0.0040395707,320.0,15
-420.85522789831,-142.33946538362778,1.0,-0.021866895,0.89044917,0.7,340.0,0.9149037,-4.488991,-0.012328286,340.0,16
-91.85268947550641,-256.63301822676266,1.0,-0.025367033,0.8843601,0.75,360.0,0.9196365,-4.0561967,-0.013794219,360.0,17
-254.60873436201615,-244.18211914287104,1.0,-0.027035763,0.87867004,0.8,380.0,0.92150354,-4.5959888,-0.013973902,380.0,18
-333.4954811856688,-90.9680667715328,1.0,-0.025988538,0.8759414,0.7,400.0,0.92621756,-3.2017841,-0.012177538,400.0,19
