train/success_rate,train/episode,stats_o/std,train/reward,test/episode,stats_o/mean,test/reward,test/mean_Q,epoch,stats_g/mean,stats_g/std,test/success_rate
0.0,20.0,1.1617577,-618.972488439935,20.0,0.06034281,-1049.3868148781728,-2.420629,0,-0.034497883,1.1633208,0.0
0.0,40.0,1.1473867,-809.3783929053296,40.0,0.028219786,-643.4218969485248,-3.0725682,1,-0.026717205,1.0523615,0.0
0.0,60.0,1.1256322,-951.0972691809214,60.0,0.0026073847,-760.17519576337,-3.355147,2,-0.037242986,1.0037435,0.0
0.0,80.0,1.0954666,-787.7736594645052,80.0,0.010141971,-828.207115405403,-4.2392626,3,-0.036364034,0.9912282,0.0
0.0,100.0,1.0634642,-771.5583485626855,100.0,0.0137788635,-504.79603467860335,-3.6946087,4,-0.04264894,0.97234225,0.0
0.0,120.0,1.0440857,-1094.3634917526626,120.0,0.00611523,-599.7186504739352,-3.7693,5,-0.049343985,0.9646728,0.0
0.0,140.0,1.0296905,-336.6271119132799,140.0,0.0024440847,-497.69803499680586,-4.885453,6,-0.05563202,0.95701957,0.0
0.0,160.0,1.0148613,-1048.8797650611925,160.0,-0.0033663288,-410.3270737355741,-4.0615277,7,-0.026647992,0.9495528,0.15
0.05,180.0,0.9956962,-312.0112431528513,180.0,-0.0056763785,-559.2126850798447,-5.6462126,8,-0.022562481,0.93873775,0.05
0.1,200.0,0.9821432,-313.79741394108237,200.0,-0.005244924,-357.1320946415671,-4.1981807,9,-0.011705417,0.94250804,0.15
0.2,220.0,0.9664242,-308.0634542347578,220.0,-0.0048557855,-328.6664154386787,-4.0003214,10,-0.0014374512,0.9345308,0.55
0.4,240.0,0.9532696,-300.2763959059622,240.0,-0.0042976905,-271.69906321085824,-4.274186,11,0.008933326,0.9322611,0.75
0.35,260.0,0.9391415,-328.7998073976192,260.0,-0.000171819,-192.44604929877318,-4.65639,12,0.014649202,0.9271938,0.75
0.35,280.0,0.9305151,-401.1397162397464,280.0,-0.0006231172,-224.60306853338852,-4.7111306,13,0.020260481,0.92979604,0.95
0.5,300.0,0.92105323,-231.11271453280725,300.0,-0.0009455094,-247.99170533026475,-4.666444,14,0.014077807,0.93094164,1.0
0.75,320.0,0.9130244,-367.515320531918,320.0,-0.0005392039,-347.60873638624514,-3.7186863,15,0.013267595,0.93064135,0.95
0.4,340.0,0.9060223,-260.80808394603605,340.0,-0.005391109,-325.6172820298634,-4.232698,16,0.004670988,0.9339816,0.95
0.5,360.0,0.8985686,-231.2645455879904,360.0,-0.0105250515,-94.51374843770488,-3.7924125,17,-0.006110031,0.93460804,1.0
0.6,380.0,0.8930038,-260.750777138099,380.0,-0.008442091,-208.9362674224238,-4.1964793,18,0.00012051081,0.9380156,0.95
0.65,400.0,0.88566417,-224.99553853377375,400.0,-0.00635841,-126.01731204620856,-4.202272,19,0.0061173737,0.9366359,1.0
