test/mean_Q,stats_g/mean,stats_o/std,train/episode,test/success_rate,stats_g/std,epoch,test/episode,stats_o/mean,test/reward,train/success_rate,train/reward
-2.6007037,0.15288529,1.1909176,20.0,0.0,1.1298478,0,20.0,0.3187471,-901.5730245010886,0.0,-646.7364905066127
-3.1368356,0.09168569,1.1867764,40.0,0.0,1.083552,1,40.0,0.21010268,-970.8778183638292,0.0,-1201.5721444760602
-3.6122794,0.08163252,1.1582619,60.0,0.0,1.0363994,2,60.0,0.16324413,-900.4820086939154,0.0,-949.2187059478041
-3.3701973,0.04974681,1.0984377,80.0,0.0,0.9894774,3,80.0,0.09045434,-482.69777485895804,0.0,-328.18810716204837
-4.5541325,0.02864549,1.0568908,100.0,0.0,0.96079254,4,100.0,0.0769404,-680.0625174258562,0.0,-572.3732827497612
-3.8705628,0.010059642,1.0321124,120.0,0.0,0.95033693,5,120.0,0.05713617,-347.2601993533455,0.0,-621.2816556920498
-5.8607793,0.0023474281,1.0131247,140.0,0.0,0.953617,6,140.0,0.042045116,-497.0854786614124,0.0,-552.226150570731
-4.5737433,-0.0002949143,0.9969385,160.0,0.15,0.9463051,7,160.0,0.027522055,-623.0968064591304,0.0,-578.4614029140923
-5.36864,-0.008129135,0.9878706,180.0,0.1,0.942236,8,180.0,0.010488874,-368.6070273107735,0.05,-635.6195081505438
-4.449719,-0.036845002,0.9779259,200.0,0.25,0.9425803,9,200.0,0.0018438622,-323.88234863631163,0.0,-601.2799329251565
-3.8367767,-0.033841483,0.9673136,220.0,0.5,0.9417099,10,220.0,-0.005516652,-278.98362864421625,0.0,-460.28203355463415
-4.643388,-0.032886427,0.9542941,240.0,0.75,0.9389285,11,240.0,-0.006113652,-365.67041630535556,0.15,-228.74576423233475
-4.894529,-0.040635284,0.9457015,260.0,0.85,0.9409342,12,260.0,-0.010814857,-149.81230261029754,0.2,-303.1164448155573
-3.9724197,-0.032219324,0.93717164,280.0,0.95,0.9405886,13,280.0,-0.0169124,-141.7263891599752,0.4,-573.8018879082824
-4.2078085,-0.020883251,0.92675465,300.0,0.95,0.9396268,14,300.0,-0.011061369,-180.67377138031873,0.55,-480.2728043232361
-4.672375,-0.030849865,0.916922,320.0,0.7,0.9383965,15,320.0,-0.012019461,-147.6587103252904,0.4,-172.14204163213265
-4.0213842,-0.034752894,0.9106544,340.0,1.0,0.9424528,16,340.0,-0.014489962,-192.59426814922014,0.45,-89.63145313574744
-4.139585,-0.031693075,0.9041835,360.0,0.95,0.944819,17,360.0,-0.015674848,-228.69182949002567,0.45,-339.5365964155641
-3.5176258,-0.022734344,0.8992311,380.0,1.0,0.9499109,18,380.0,-0.014641843,-101.4222603339145,0.8,-171.60250050743792
-4.133945,-0.02213476,0.8927593,400.0,0.95,0.95024884,19,400.0,-0.015912008,-284.2741218985214,0.8,-295.16291777621694
