stats_o/std,train/episode,train/success_rate,test/success_rate,test/reward,train/reward,test/episode,epoch,stats_g/std,test/mean_Q,stats_o/mean,stats_g/mean
1.3019996,20.0,0.0,0.0,-1070.3810321198575,-1357.955577363652,20.0,0,1.1231452,-2.5039766,-0.050714746,-0.13890028
1.1595879,40.0,0.0,0.0,-686.1174418982,-530.4030634582334,40.0,1,0.99315274,-3.334294,-0.044739656,-0.0653799
1.1375906,60.0,0.0,0.0,-647.6023343252427,-915.6059586232852,60.0,2,0.97699946,-3.786512,-0.04627172,-0.054364063
1.0957274,80.0,0.0,0.0,-606.674833067836,-754.5192383124065,80.0,3,0.9635147,-3.9416454,-0.018079326,-0.02581648
1.0667661,100.0,0.0,0.0,-600.461507963045,-663.3959253725473,100.0,4,0.94818944,-4.8446207,-0.009729002,-0.017096234
1.0535287,120.0,0.0,0.0,-440.37490299752824,-689.1192445803609,120.0,5,0.93603003,-4.3232164,-0.014103961,-0.01845919
1.0306239,140.0,0.0,0.0,-277.17356713498486,-314.4805750799693,140.0,6,0.9296618,-4.5172853,-0.018134706,-0.044558406
1.0131142,160.0,0.0,0.0,-383.00573033526734,-696.5362186145078,160.0,7,0.9311706,-4.398654,0.005894309,-0.019918619
0.9968753,180.0,0.0,0.25,-379.82340354909604,-343.92727768975726,180.0,8,0.9270575,-4.286073,-0.01113438,-0.02435979
0.98301387,200.0,0.1,0.45,-332.57993284461526,-573.3996660721597,200.0,9,0.9277802,-4.427621,-0.014535341,-0.04626482
0.9665804,220.0,0.25,0.65,-190.36581937614707,-501.40255738861055,220.0,10,0.9203502,-3.5302627,-0.020050623,-0.03975632
0.9532155,240.0,0.2,0.8,-400.80188916687075,-127.82632561663368,240.0,11,0.92293,-5.0306187,-0.012591761,-0.02980657
0.94159806,260.0,0.45,0.5,-422.221619637571,-361.5597145305475,260.0,12,0.92459416,-5.4407725,-0.016949635,-0.0360953
0.9316188,280.0,0.45,0.8,-205.057348055243,-702.9177654292904,280.0,13,0.9267734,-4.236886,-0.017566135,-0.02313081
0.9225402,300.0,0.45,0.9,-295.6056848710025,-376.53949578838524,300.0,14,0.92815447,-4.4227695,-0.020519169,-0.022687595
0.9145693,320.0,0.45,0.95,-257.7588000385824,-421.4188128678253,320.0,15,0.9303395,-4.327979,-0.014709367,-0.012217995
0.9075302,340.0,0.65,1.0,-288.64209558885443,-132.2984847655352,340.0,16,0.93458027,-3.9334297,-0.020696046,-0.020597886
0.89909065,360.0,0.5,1.0,-142.99226553467042,-268.03253521876354,360.0,17,0.93689036,-3.27502,-0.018675033,-0.009900405
0.89618933,380.0,0.75,1.0,-281.55186763180086,-398.70730340675686,380.0,18,0.93937886,-3.8481274,-0.017409576,-0.012013826
0.88997144,400.0,0.7,1.0,-388.90399672276686,-145.63621179410862,400.0,19,0.94137704,-5.291518,-0.019068152,-0.015104929
