train/reward,epoch,test/reward,stats_o/std,train/success_rate,stats_g/mean,train/episode,test/mean_Q,test/success_rate,stats_g/std,test/episode,stats_o/mean
-945.6012508710943,0,-994.795835183736,1.2469258,0.0,0.010272406,20.0,-2.8053002,0.0,1.1618099,20.0,-0.04927835
-785.2433259250345,1,-596.6251631423613,1.1790893,0.0,-0.009200588,40.0,-2.8992834,0.0,1.0278053,40.0,-0.09855643
-860.4194758132194,2,-523.2390270573906,1.1437204,0.0,-0.00011908077,60.0,-3.7292964,0.0,0.9941043,60.0,-0.030183623
-720.8418047148157,3,-693.3178318799582,1.0900242,0.0,0.0061413385,80.0,-4.2477775,0.0,0.9547353,80.0,-0.018421352
-673.3339968103347,4,-435.0434536088245,1.0703754,0.0,0.032077804,100.0,-3.4074733,0.0,0.9486278,100.0,-0.026139118
-412.72866645037317,5,-475.534612934604,1.0438564,0.0,0.026685135,120.0,-4.6190615,0.0,0.9290508,120.0,-0.041720595
-615.1502976362747,6,-430.5819283131678,1.0228479,0.0,0.012128832,140.0,-4.1851707,0.05,0.927593,140.0,-0.03196154
-802.9383784017238,7,-418.5289895183098,1.0043032,0.0,0.029049035,160.0,-5.538066,0.0,0.91689044,160.0,-0.023862846
-467.7815549631669,8,-608.1699970714208,0.98465836,0.05,0.029742848,180.0,-4.8474035,0.05,0.91016644,180.0,-0.02242098
-448.5226144018933,9,-291.2930261986796,0.9690076,0.05,0.028750477,200.0,-4.513994,0.25,0.9050414,200.0,-0.027108222
-523.2562629755876,10,-330.16521036440173,0.94976175,0.2,0.017732112,220.0,-3.6101654,0.6,0.8991512,220.0,-0.026068512
-480.6012885737749,11,-488.51696585272526,0.94011354,0.1,0.014831317,240.0,-5.051591,0.45,0.906386,240.0,-0.020425474
-314.5090701815743,12,-383.12785682065316,0.9307043,0.25,0.0122621395,260.0,-3.8886688,0.85,0.912075,260.0,-0.018586121
-161.31985474474288,13,-338.0394633332686,0.92016906,0.55,-0.0010821,280.0,-4.9506674,0.6,0.9148474,280.0,-0.019807588
-384.83695069201013,14,-177.9554378093777,0.91012216,0.4,-0.009530071,300.0,-4.27032,0.9,0.9145937,300.0,-0.022827119
-274.81868365335686,15,-353.01619375486706,0.90271455,0.6,-0.008169972,320.0,-3.8734741,0.8,0.9175853,320.0,-0.020304637
-199.5092949378149,16,-182.60256915998045,0.8958138,0.5,-0.015093193,340.0,-3.3585522,0.95,0.9189444,340.0,-0.023005605
-196.44532140333033,17,-168.61907608794596,0.89036536,0.45,-0.020193,360.0,-4.5180254,0.7,0.92304665,360.0,-0.023507912
-233.5508237110115,18,-190.19478803913668,0.88315195,0.75,-0.016615659,380.0,-4.2129154,1.0,0.9235307,380.0,-0.023568664
-303.8270165289314,19,-136.691622645585,0.87758636,0.6,-0.0155457165,400.0,-4.4477377,0.9,0.9249211,400.0,-0.019450352
