test/mean_Q,test/success_rate,train/success_rate,stats_o/std,stats_g/mean,test/reward,train/episode,stats_o/mean,test/episode,epoch,train/reward,stats_g/std
-3.0175261,0.0,0.0,1.4182475,0.10456983,-1121.573647613062,20.0,0.050434615,20.0,0,-1162.7555350435139,1.3494372
-3.7552955,0.0,0.0,1.234168,0.0458306,-991.0372217876863,40.0,-0.020714873,40.0,1,-853.421094493656,1.1678442
-3.5917716,0.0,0.0,1.1523876,0.00021361746,-560.6410362305222,60.0,-0.021417614,60.0,2,-601.0878238076382,1.0899652
-4.2011743,0.0,0.0,1.0926197,-0.030176662,-601.7748802787754,80.0,-0.0580509,80.0,3,-474.8524979791166,1.0444932
-4.399898,0.0,0.0,1.0662541,-0.061960865,-689.3470758967459,100.0,-0.07339688,100.0,4,-723.8251174796034,1.0212061
-5.09723,0.0,0.0,1.0454739,-0.05382764,-271.5807441578635,120.0,-0.07510108,120.0,5,-437.53911026413215,1.0039414
-4.4855795,0.0,0.0,1.0247142,-0.057806484,-394.2797062525336,140.0,-0.06284079,140.0,6,-641.2458271663852,0.9880613
-4.483302,0.05,0.0,1.0111676,-0.05624438,-579.6704652323717,160.0,-0.042639688,160.0,7,-516.6855975517699,0.9714745
-5.053275,0.1,0.0,0.99439377,-0.03359848,-424.06206855350763,180.0,-0.028996365,180.0,8,-341.8781070453937,0.9668514
-4.188845,0.15,0.0,0.9801394,-0.04431544,-463.02498211382954,200.0,-0.0330021,200.0,9,-484.7204551861568,0.9591055
-4.887559,0.4,0.0,0.9708936,-0.034663513,-347.9067101423199,220.0,-0.030177766,220.0,10,-241.68377316729863,0.96517533
-5.62184,0.1,0.15,0.95861644,-0.02251055,-334.4809150049367,240.0,-0.021666035,240.0,11,-531.149744238602,0.96622235
-4.9233103,0.3,0.25,0.9485351,-0.0064510806,-239.62354762214733,260.0,-0.023320273,260.0,12,-180.94618467226795,0.9613998
-4.2709785,0.95,0.4,0.93811744,0.0037509287,-339.44178552130194,280.0,-0.01999521,280.0,13,-199.21083299957473,0.96098495
-3.3046227,0.75,0.35,0.9294939,0.012637828,-215.73362846488493,300.0,-0.018731005,300.0,14,-558.6923753899836,0.96473795
-4.7680902,0.95,0.4,0.92131037,0.011737229,-385.2561178541109,320.0,-0.016231975,320.0,15,-200.27361823720895,0.9629197
-5.074562,0.9,0.5,0.9148989,0.009456875,-247.52122718626492,340.0,-0.014540622,340.0,16,-403.5437077823954,0.96115637
-3.5926445,0.95,0.65,0.90968406,0.010019668,-157.76387758621775,360.0,-0.009823147,360.0,17,-275.576769194132,0.96141917
-3.863557,1.0,0.75,0.90338004,0.00028147642,-136.48027540806675,380.0,-0.008910218,380.0,18,-370.03419357084834,0.9640825
-4.295162,1.0,0.6,0.8983255,0.0068596164,-206.50285511168673,400.0,-0.0071325894,400.0,19,-193.52319261869883,0.96803784
