test/mean_Q,stats_g/mean,stats_o/std,test/success_rate,train/episode,epoch,test/reward,test/episode,stats_g/std,train/success_rate,train/reward,stats_o/mean
-2.650222,-0.20140997,1.2512422,0.0,20.0,0,-825.3057654223896,20.0,1.1126409,0.0,-912.5358737283835,-0.13455608
-3.4151466,-0.13693112,1.1866025,0.0,40.0,1,-1195.781595909861,40.0,1.0203182,0.0,-782.2602295110738,-0.1109473
-3.4643874,-0.0907147,1.1034012,0.0,60.0,2,-717.5260310447441,60.0,0.9569179,0.0,-820.7388764205302,-0.06894148
-3.5997384,-0.03596087,1.0642586,0.0,80.0,3,-658.294509591087,80.0,0.9429611,0.0,-738.1185578077707,-0.03609766
-4.534004,-0.0377051,1.0402961,0.0,100.0,4,-859.3358853020319,100.0,0.9240233,0.0,-974.8484128809336,-0.010856808
-5.0552697,-0.046900123,1.0207909,0.0,120.0,5,-713.5971364103077,120.0,0.9201918,0.0,-644.3653913547906,-0.018213863
-4.7526712,-0.032349903,1.0152907,0.0,140.0,6,-607.3906800362553,140.0,0.91423154,0.0,-890.8278801509498,0.011228535
-4.440654,-0.026874874,0.99447,0.05,160.0,7,-415.33665009377717,160.0,0.91122127,0.05,-412.7915487041717,0.020406418
-3.2626443,-0.01708177,0.9849605,0.15,180.0,8,-297.42406240026924,180.0,0.9155575,0.0,-1017.623479510666,0.017431475
-5.349719,-0.020118311,0.9736182,0.05,200.0,9,-605.3540140770667,200.0,0.9179719,0.1,-530.5844587548795,0.0042447345
-4.4276805,-0.016308531,0.9576756,0.8,220.0,10,-355.8283239040414,220.0,0.9149694,0.15,-450.5353062587186,0.008935807
-4.583098,-0.015900882,0.9443356,0.95,240.0,11,-286.4360781864172,240.0,0.91022015,0.5,-599.183146908364,0.007906419
-4.0673623,-0.016325219,0.93266845,0.9,260.0,12,-165.59788187774646,260.0,0.911141,0.45,-273.90931360976026,0.01177848
-4.552995,-0.016951533,0.9238501,0.9,280.0,13,-296.26818151262523,280.0,0.9092111,0.35,-387.2167851278591,0.013619047
-4.0791764,-0.009866887,0.9151794,0.95,300.0,14,-114.47176886762672,300.0,0.9122949,0.4,-101.0527452086587,0.018288786
-4.0292563,-0.018539129,0.90829813,1.0,320.0,15,-234.3411710839591,320.0,0.9148357,0.55,-373.475403700277,0.017091507
-5.1916375,-0.019194856,0.8991543,1.0,340.0,16,-177.11695870287892,340.0,0.9137052,0.65,-408.2959202788954,0.015071703
-4.340388,-0.02233187,0.89394355,1.0,360.0,17,-88.71284155560052,360.0,0.9216452,0.6,-108.8181212033305,0.012392899
-5.1336923,-0.023418596,0.89005655,1.0,380.0,18,-266.09841216584493,380.0,0.92731476,0.75,-338.7944403340911,0.008894399
-4.3809547,-0.024162326,0.8825054,1.0,400.0,19,-281.38173198335454,400.0,0.92625195,0.75,-228.57847182509133,0.010021763
