test/episode,stats_g/std,train/success_rate,stats_o/std,train/episode,train/reward,epoch,test/mean_Q,test/reward,stats_g/mean,stats_o/mean,test/success_rate
20.0,0.9773218,0.0,1.1103511,20.0,-723.6343939772927,0,-2.7012143,-774.0714899654538,0.00586237,0.01379684,0.0
40.0,0.97390795,0.0,1.088666,40.0,-1112.0104416179117,1,-2.814261,-948.8537150283169,0.09146756,0.14998266,0.0
60.0,0.95219904,0.0,1.0652534,60.0,-787.2155118342839,2,-3.4831917,-915.1506708207498,0.07522662,0.111570515,0.0
80.0,0.92830944,0.0,1.0460012,80.0,-943.8276642335868,3,-3.533261,-618.8521243655016,0.03477564,0.035977155,0.0
100.0,0.904229,0.0,1.027203,100.0,-793.2587459371507,4,-3.5415332,-361.6640790208118,0.040512856,0.029616749,0.0
120.0,0.8888067,0.0,1.0122856,120.0,-876.3464535969689,5,-3.7028382,-312.2214546648609,0.056465812,0.02803069,0.0
140.0,0.8870274,0.0,0.9957737,140.0,-612.3090630119386,6,-5.6335883,-639.1916597165106,0.06542034,0.025578534,0.0
160.0,0.88524526,0.0,0.9818976,160.0,-664.6007241193529,7,-4.242311,-401.9745665552695,0.051134326,0.023752237,0.2
180.0,0.8798401,0.15,0.9665396,180.0,-559.9694934290451,8,-3.541322,-227.79243667513393,0.048511688,0.026443427,0.65
200.0,0.8882468,0.15,0.96304905,200.0,-735.7971221035978,9,-4.4162683,-314.6317393494358,0.052077208,0.023124805,0.9
220.0,0.89363,0.2,0.9531832,220.0,-645.4424605007216,10,-4.633601,-248.14474292402045,0.047648385,0.025901003,0.85
240.0,0.897902,0.45,0.94489115,240.0,-273.0016002734077,11,-3.9775329,-139.3292416876067,0.045296684,0.034282975,1.0
260.0,0.9014077,0.4,0.9343143,260.0,-602.0146230452849,12,-3.8395245,-204.39188626831182,0.04899907,0.031547878,1.0
280.0,0.90751064,0.55,0.9288527,280.0,-630.832339818464,13,-4.6255264,-122.11663681830724,0.04060889,0.028865457,0.95
300.0,0.9067154,0.6,0.92134297,300.0,-284.80438291340096,14,-3.720201,-95.00792803663875,0.03931275,0.02703368,1.0
320.0,0.90838104,0.75,0.91259557,320.0,-619.1642609518688,15,-3.4932556,-270.5799279337979,0.027686123,0.022719085,1.0
340.0,0.91166544,0.65,0.90571785,340.0,-452.6260704604171,16,-5.531481,-341.4570043965423,0.031361055,0.024775166,1.0
360.0,0.9141918,0.6,0.8987102,360.0,-139.65235390791304,17,-4.3221893,-229.58162648117943,0.03569404,0.025213942,1.0
380.0,0.91394514,0.8,0.8908557,380.0,-124.94429384697976,18,-3.9491382,-134.49790355696445,0.03769096,0.024253523,1.0
400.0,0.9121359,0.8,0.8823253,400.0,-371.648231998856,19,-3.9738736,-173.36529737610962,0.04026531,0.023973687,1.0
