test/mean_Q,test/success_rate,train/reward,train/success_rate,test/reward,epoch,train/episode,stats_o/std,test/episode,stats_g/mean,stats_o/mean,stats_g/std
-2.3695788,0.0,-1121.9191956681373,0.0,-636.0994222614088,0,20.0,1.2437103,20.0,-0.0032022768,-0.2532011,1.0899289
-3.5522504,0.0,-1025.301452526532,0.0,-931.2860755492993,1,40.0,1.1238174,40.0,-0.03821734,-0.14687422,0.9876037
-3.6431057,0.0,-848.7156436977249,0.0,-775.0392833355329,2,60.0,1.1137756,60.0,-0.007386405,-0.10635974,0.96668416
-4.4313965,0.0,-944.5764751411497,0.0,-612.1964333988467,3,80.0,1.083694,80.0,-0.004473593,-0.09447959,0.9492431
-4.284771,0.0,-883.014026747833,0.0,-751.9672276155181,4,100.0,1.0620714,100.0,-0.023001175,-0.074872866,0.9370243
-5.1055207,0.0,-411.05064837364523,0.0,-682.5525269767533,5,120.0,1.0417666,120.0,0.0055376925,-0.06369168,0.9309763
-3.9238038,0.05,-740.8137634563337,0.0,-402.93130867534313,6,140.0,1.0287426,140.0,0.02195513,-0.05662459,0.9259809
-5.1438065,0.15,-348.07128265626017,0.0,-207.99767360777096,7,160.0,1.0126722,160.0,0.017798737,-0.037202034,0.9254972
-4.700059,0.1,-183.04383392563025,0.05,-551.1226518979996,8,180.0,0.99476874,180.0,0.004855778,-0.02556481,0.91306627
-5.3298864,0.25,-709.1087793116877,0.1,-496.7950217529584,9,200.0,0.97865856,200.0,0.021650922,-0.019360023,0.9083348
-3.9440327,0.55,-231.55832624508076,0.25,-349.6063991494988,10,220.0,0.9654974,220.0,0.013313555,-0.025033593,0.9087234
-4.2269855,0.6,-733.8302751658363,0.25,-563.9184505314136,11,240.0,0.9566796,240.0,0.012511382,-0.017141996,0.91010433
-4.5011425,0.85,-375.5739489491031,0.3,-404.1021335440445,12,260.0,0.94649804,260.0,0.0105684735,-0.013974171,0.9118773
-4.1928096,0.95,-401.43749291797184,0.4,-476.5047241100723,13,280.0,0.93910486,280.0,0.012921434,-0.010987854,0.9190972
-5.0441723,0.8,-524.9876220277665,0.25,-414.43892269908054,14,300.0,0.93133354,300.0,0.001050924,-0.01677324,0.92048436
-4.519732,0.85,-342.71559732915836,0.4,-258.5955514378946,15,320.0,0.92317104,320.0,0.00059279427,-0.017406566,0.9226671
-3.5735867,0.95,-336.15846869572164,0.6,-249.62410046940172,16,340.0,0.91375506,340.0,-0.0019212719,-0.015664969,0.92179567
-3.4365811,0.95,-298.36324400269984,0.5,-78.94327583303277,17,360.0,0.9076797,360.0,-0.013500516,-0.014558825,0.9247693
-4.075697,1.0,-245.74063359950264,0.7,-143.74428758701697,18,380.0,0.89990115,380.0,-0.006376899,-0.012513775,0.92635024
-3.6829505,0.95,-112.74371862868797,0.7,-162.29064385655826,19,400.0,0.8938161,400.0,-0.006196113,-0.010277811,0.9293865
