train/reward,test/success_rate,train/success_rate,train/episode,test/mean_Q,stats_g/std,stats_o/std,stats_g/mean,test/episode,stats_o/mean,epoch,test/reward
-883.3210050011277,0.0,0.0,20.0,-2.9877381,1.1918986,1.2681108,0.058723796,20.0,0.02757458,0,-977.7815622326231
-1189.3512549078032,0.0,0.0,40.0,-2.957856,1.1271961,1.1941891,-0.037231922,40.0,-0.07427153,1,-497.8312300583885
-841.9188109685051,0.0,0.0,60.0,-3.9106896,1.0744004,1.147788,-0.02586266,60.0,-0.008414301,2,-779.6027759738433
-712.3544911314873,0.0,0.0,80.0,-4.082015,1.039425,1.1142303,-0.0038544037,80.0,0.004168033,3,-711.3536919770377
-781.6818926585635,0.0,0.0,100.0,-4.1999025,1.0144196,1.0908345,-0.003682335,100.0,-0.0010756543,4,-619.6674003821494
-784.636585507673,0.05,0.0,120.0,-4.022813,0.98112816,1.0623198,0.012633778,120.0,-0.008222697,5,-547.6254568952215
-1205.3787883420684,0.0,0.0,140.0,-5.719659,0.9589803,1.0376788,0.026345912,140.0,0.0010809321,6,-531.5241533238976
-562.2680643825291,0.05,0.0,160.0,-4.459666,0.95832926,1.019133,0.049576323,160.0,0.0037624165,7,-591.5573461088505
-333.8849102145701,0.0,0.05,180.0,-6.6717806,0.9443889,1.0021363,0.04190538,180.0,0.0051691923,8,-347.72706846814833
-487.699685514862,0.45,0.15,200.0,-3.9999478,0.92978895,0.98110867,0.0473918,200.0,-0.004129665,9,-286.08503712633393
-622.5814687654475,0.2,0.15,220.0,-4.4041166,0.9319861,0.9664271,0.051267408,220.0,-0.0011869594,10,-167.28582876273836
-403.9614218098743,0.6,0.25,240.0,-4.3077316,0.930606,0.9511682,0.040485438,240.0,-0.0009947568,11,-373.48937780250526
-505.7254577361432,0.8,0.4,260.0,-4.998194,0.93304867,0.940866,0.04040244,260.0,-0.002608128,12,-168.50497628401268
-730.4990278346332,0.5,0.25,280.0,-4.3886857,0.9313508,0.93133783,0.038479745,280.0,-0.005898171,13,-184.49982667383455
-506.99287143287376,0.6,0.4,300.0,-4.519908,0.92874706,0.9198158,0.0452961,300.0,-0.0023642294,14,-267.3206084494892
-588.4452495427748,1.0,0.55,320.0,-4.4621725,0.9332244,0.91162133,0.046926558,320.0,-0.0030166209,15,-271.3162819182027
-513.7679171370964,1.0,0.6,340.0,-3.4077194,0.9341574,0.9060403,0.042556502,340.0,-0.0010879831,16,-197.03800150869873
-144.14113524707412,0.6,0.5,360.0,-4.7632403,0.9347666,0.89941764,0.043950398,360.0,-0.0005674623,17,-162.13907495501215
-129.2047847150014,1.0,0.65,380.0,-3.5869648,0.9381375,0.89323044,0.03911877,380.0,0.00030483026,18,-196.50720416445162
-156.51528383294885,1.0,0.65,400.0,-3.7403266,0.93522024,0.88373554,0.044413447,400.0,0.0012881355,19,-143.49399476723784
