train/reward,test/episode,epoch,test/reward,stats_g/std,train/success_rate,stats_g/mean,test/success_rate,stats_o/std,train/episode,stats_o/mean,test/mean_Q
-1073.0148969932989,20.0,0,-1681.7361220183163,1.2053791,0.0,-0.076449975,0.0,1.2289119,20.0,-0.16705003,-2.8985841
-794.6816842060006,40.0,1,-960.5989377428435,1.1066873,0.0,-0.025337368,0.0,1.1577584,40.0,-0.15077335,-3.6175818
-946.3342945242125,60.0,2,-793.2567681570156,1.060936,0.0,-0.026436701,0.0,1.1262531,60.0,-0.088263966,-3.4362607
-997.4276293345971,80.0,3,-704.5082577073307,1.0339788,0.0,-0.03262095,0.0,1.1025563,80.0,-0.055612117,-4.5641527
-674.1323051538534,100.0,4,-420.75879487333987,0.99288285,0.0,-0.04127133,0.0,1.0633676,100.0,-0.05498811,-4.212106
-527.5169399533015,120.0,5,-826.372446985035,0.9799293,0.0,-0.04983283,0.0,1.0332146,120.0,-0.040171027,-4.9236884
-602.6963417836919,140.0,6,-705.3817045005512,0.963203,0.0,-0.046988472,0.0,1.0168351,140.0,-0.03788036,-4.798262
-455.7207204266412,160.0,7,-434.03105111289085,0.95593405,0.0,-0.045509182,0.1,1.0004376,160.0,-0.043751284,-3.9732163
-527.4711538986387,180.0,8,-547.2388607902151,0.9495767,0.05,-0.032336432,0.05,0.9815801,180.0,-0.026803924,-4.044608
-320.4797327806544,200.0,9,-314.6357284170158,0.94439906,0.05,-0.028931838,0.3,0.9630536,200.0,-0.019802343,-4.2215495
-143.75888192798948,220.0,10,-248.16899305792913,0.9376995,0.15,-0.024234084,0.4,0.9489252,220.0,-0.016146038,-4.8194776
-257.18624291496565,240.0,11,-403.33259362189835,0.9435204,0.25,-0.019314354,0.75,0.93581915,240.0,-0.016655454,-4.035927
-483.1755876327139,260.0,12,-305.2165206916298,0.94842464,0.2,-0.015952958,0.55,0.92924714,260.0,-0.014407022,-4.819977
-385.99524486188113,280.0,13,-159.4127213485706,0.9413789,0.4,-0.015021798,0.6,0.91772985,280.0,-0.013732463,-4.8006005
-546.9926283957051,300.0,14,-211.08483791104447,0.9393994,0.25,-0.018254131,1.0,0.9119632,300.0,-0.013948886,-3.6302319
-490.68350768224207,320.0,15,-368.2663928367871,0.9382083,0.3,-0.014210322,0.65,0.9041827,320.0,-0.010812712,-5.4532375
-258.7998825658181,340.0,16,-92.42271517534977,0.9418807,0.5,-0.024282847,1.0,0.8973029,340.0,-0.0142902415,-3.7712975
-215.16199261578356,360.0,17,-205.81240435562248,0.9418344,0.35,-0.016487638,0.95,0.8903165,360.0,-0.00849616,-3.8095303
-403.5067981131766,380.0,18,-291.4413887727737,0.94464374,0.6,-0.02058272,1.0,0.88471276,380.0,-0.010261364,-3.5522842
-318.9454783640189,400.0,19,-224.05913899502585,0.9463333,0.8,-0.02206392,1.0,0.8786848,400.0,-0.011470895,-3.95313
