stats_o/std,test/episode,train/success_rate,train/reward,stats_o/mean,train/episode,stats_g/std,test/reward,test/success_rate,test/mean_Q,stats_g/mean,epoch
1.1876748,20.0,0.0,-645.4373611115248,0.14608164,20.0,1.1285837,-751.6130935521638,0.0,-3.1816537,0.010345906,0
1.1310676,40.0,0.0,-1256.2601868740492,0.021729322,40.0,1.0218847,-549.7444268008865,0.0,-3.3688712,0.008179773,1
1.1100152,60.0,0.0,-873.0057896260494,0.057864908,60.0,0.99862814,-932.3534645593588,0.0,-3.4792473,0.013748568,2
1.0790589,80.0,0.0,-890.4617741753959,0.03831105,80.0,0.9739371,-817.1030379903448,0.0,-3.6890426,-0.010471974,3
1.0481422,100.0,0.0,-770.1286104539848,0.010803172,100.0,0.95464456,-569.2040479072574,0.05,-4.595153,0.012417666,4
1.0322268,120.0,0.0,-438.7043113277645,0.048175417,120.0,0.9437367,-906.2603053502742,0.0,-4.9377046,0.019107454,5
1.0121621,140.0,0.0,-250.28179382075186,0.050601386,140.0,0.9380576,-501.8663083436233,0.0,-5.27705,0.019731568,6
1.0041181,160.0,0.0,-556.7824132084353,0.040891234,160.0,0.9287848,-501.8177109809873,0.1,-4.5103445,0.009130333,7
0.9873178,180.0,0.1,-869.6480075643249,0.038936414,180.0,0.92332953,-259.8464614351747,0.1,-3.9876523,0.012979971,8
0.9686204,200.0,0.15,-372.7206672206159,0.034642193,200.0,0.9158455,-530.060473316508,0.35,-4.307742,-0.0063487533,9
0.95486695,220.0,0.2,-436.2033445234743,0.027941858,220.0,0.91564953,-525.3113802057267,0.6,-4.454666,-0.009402195,10
0.94369113,240.0,0.25,-498.20628900297237,0.027464151,240.0,0.9158014,-338.7328279433634,0.6,-5.050258,-0.020429445,11
0.9340378,260.0,0.3,-626.5224308154428,0.023326155,260.0,0.91260433,-366.95135858845896,0.6,-4.3081894,-0.013258986,12
0.92747545,280.0,0.4,-667.793650274116,0.022139538,280.0,0.91357315,-225.60161038229262,0.55,-4.990761,-0.005117027,13
0.91879916,300.0,0.4,-541.326963687261,0.02207705,300.0,0.9116022,-276.9120531195589,0.9,-4.1996055,-0.009228373,14
0.9110409,320.0,0.5,-183.9285700791353,0.02127821,320.0,0.91201127,-365.43547272865476,1.0,-4.5492496,-0.01082327,15
0.9036612,340.0,0.35,-153.88849141662487,0.022894008,340.0,0.9152251,-198.33983004494274,0.9,-4.334139,-0.0034717321,16
0.8948959,360.0,0.7,-212.35911415198782,0.02256804,360.0,0.914675,-167.2107361203977,1.0,-3.6089675,-0.008552687,17
0.8874609,380.0,0.75,-328.00347890492253,0.0183715,380.0,0.9170566,-169.5665042556852,0.85,-4.1988487,-0.016970418,18
0.8806286,400.0,0.75,-409.60635458032243,0.016614586,400.0,0.9181755,-160.62852034901425,1.0,-4.370288,-0.020273294,19
