epoch,test/mean_Q,train/reward,stats_o/std,train/episode,test/episode,stats_o/mean,stats_g/std,train/success_rate,test/reward,stats_g/mean,test/success_rate
0,-2.6912084,-1180.8093906283007,1.1885637,20.0,20.0,0.1270584,1.1203262,0.0,-663.5728847004698,0.017675687,0.0
1,-2.7814236,-976.9047953061383,1.0887604,40.0,40.0,0.024875311,1.0051092,0.0,-684.7254137167978,-0.046520848,0.0
2,-3.7348564,-811.5551679611912,1.0736065,60.0,60.0,-0.055057675,0.96091384,0.0,-589.4316621667593,-0.068741255,0.0
3,-4.127371,-842.8839628709463,1.0650502,80.0,80.0,-0.058687672,0.9474994,0.0,-685.7938568661109,-0.08851537,0.0
4,-4.618146,-1190.4146444973435,1.0471884,100.0,100.0,-0.05728515,0.94719076,0.0,-537.4892783107144,-0.0673217,0.0
5,-4.745069,-757.5086188099395,1.0331889,120.0,120.0,-0.038511433,0.9342461,0.0,-432.2170562144945,-0.053335533,0.0
6,-4.6955953,-535.5533855841217,1.0139847,140.0,140.0,-0.045252457,0.9256567,0.0,-556.9897271734787,-0.03946804,0.0
7,-4.1331697,-912.3118882517601,0.9936111,160.0,160.0,-0.036064565,0.9174843,0.0,-365.70249777499004,-0.023325976,0.0
8,-4.372472,-720.8988856848389,0.97767764,180.0,180.0,-0.047972456,0.91974187,0.05,-174.88301892469875,-0.027573165,0.05
9,-4.068374,-393.7512078200131,0.96173185,200.0,200.0,-0.049193628,0.9126878,0.05,-357.0577804169209,-0.023810795,0.3
10,-4.160655,-508.6798114466958,0.9471495,220.0,220.0,-0.046107426,0.9109068,0.15,-320.0387227121824,-0.026027245,0.35
11,-4.8614006,-424.33722448076315,0.93224263,240.0,240.0,-0.041836105,0.90906155,0.4,-528.424698985593,-0.014056014,0.7
12,-4.2385097,-606.9709813319689,0.92112345,260.0,260.0,-0.03723827,0.9050606,0.45,-393.9305181432606,-0.015751615,0.8
13,-3.4936585,-651.6449903910953,0.91544634,280.0,280.0,-0.0377163,0.90966976,0.45,-185.75402196722197,-0.025890436,0.75
14,-4.066908,-354.9562078165128,0.9061398,300.0,300.0,-0.036894564,0.9079147,0.5,-424.5658756998256,-0.030053217,0.9
15,-3.951271,-311.1969429845723,0.8995023,320.0,320.0,-0.03072352,0.9085039,0.65,-126.19596432444429,-0.025982779,1.0
16,-4.5531073,-229.8750493897679,0.8910478,340.0,340.0,-0.027105292,0.90600115,0.75,-257.362548374726,-0.019901989,0.95
17,-4.4196777,-195.16864776156004,0.88603556,360.0,360.0,-0.022808347,0.9129199,0.3,-214.55742118346257,-0.013375852,1.0
18,-4.662944,-129.38773191682986,0.8775649,380.0,380.0,-0.023136932,0.9105402,0.7,-78.10625724098566,-0.01653693,1.0
19,-4.299632,-519.2949118249446,0.87189984,400.0,400.0,-0.021809738,0.9137135,0.8,-233.51932594588334,-0.011826205,1.0
