stats_g/std,train/reward,test/mean_Q,test/episode,train/episode,train/success_rate,stats_g/mean,epoch,test/reward,stats_o/mean,stats_o/std,test/success_rate
1.0951325,-813.0504263305734,-3.1251094,20.0,20.0,0.0,0.031345308,0,-960.1910453076121,0.08238051,1.1790149,0.0
1.0114453,-819.6864437776766,-2.679121,40.0,40.0,0.0,0.03852099,1,-881.4634241217752,0.10720486,1.1063436,0.0
0.9789429,-906.1968297899288,-3.5739512,60.0,60.0,0.0,0.05838163,2,-685.8711353809214,0.042439163,1.1082803,0.0
0.9442119,-671.5362187377631,-4.672949,80.0,80.0,0.0,0.038764875,3,-782.1841359348352,0.0339031,1.0780025,0.0
0.92054504,-857.6011963195682,-3.7927845,100.0,100.0,0.0,0.04464479,4,-527.3600750719688,0.043579035,1.0556612,0.0
0.9158591,-765.1130334145081,-4.81312,120.0,120.0,0.0,0.045149524,5,-590.7794637008271,0.05052354,1.0305953,0.0
0.9104814,-367.96032145919537,-4.3191137,140.0,140.0,0.0,0.03820104,6,-294.8081741574502,0.0406796,1.0086751,0.0
0.9122985,-450.36912203762665,-5.1510324,160.0,160.0,0.0,0.04517807,7,-915.7813079734337,0.041394096,0.99190146,0.0
0.911892,-582.7038345715023,-3.4988136,180.0,180.0,0.0,0.033794038,8,-343.4166511904657,0.032408953,0.978606,0.5
0.9076085,-692.5824140705631,-3.6675515,200.0,200.0,0.0,0.023833148,9,-436.9337257460737,0.025811799,0.9629846,0.55
0.9036136,-486.84747097972564,-5.020713,220.0,220.0,0.2,0.010344975,10,-367.5213302056389,0.021513738,0.9541052,0.55
0.89577335,-403.2688904989189,-3.573997,240.0,240.0,0.4,0.0053243116,11,-76.97481755219255,0.022059968,0.93840766,1.0
0.9082741,-359.1391562977506,-4.4863973,260.0,260.0,0.35,0.022402517,12,-170.08278403597652,0.020918462,0.93243563,0.85
0.9125564,-604.8628976384042,-4.330809,280.0,280.0,0.55,0.03782935,13,-161.07942262382778,0.024902966,0.926571,1.0
0.91767514,-356.51267759706985,-4.748769,300.0,300.0,0.35,0.040015336,14,-90.70049594601993,0.024236185,0.91789544,0.65
0.91736364,-349.12442186946504,-3.947125,320.0,320.0,0.7,0.037189897,15,-262.15810068130594,0.021609921,0.9112293,1.0
0.91755915,-482.9449243496213,-4.3615303,340.0,340.0,0.55,0.034660988,16,-186.40614560278314,0.020935332,0.90158767,0.75
0.92032355,-591.1954266716236,-3.4746928,360.0,360.0,0.6,0.037359055,17,-249.8706404469935,0.019657012,0.8951229,0.95
0.92102015,-232.70497365632156,-4.5743375,380.0,380.0,0.85,0.048081413,18,-203.90522734962002,0.02007739,0.8881285,1.0
0.92354774,-331.4252106203793,-3.2385669,400.0,400.0,0.8,0.04692441,19,-83.64275173100789,0.019039083,0.8828627,1.0
