train/reward,stats_o/mean,train/success_rate,test/success_rate,epoch,test/reward,stats_g/mean,stats_o/std,stats_g/std,test/episode,test/mean_Q,train/episode
-823.6763069180327,0.03398031,0.0,0.0,0,-641.3016377049247,-0.005930703,1.2164929,1.1646544,20.0,-2.8091054,20.0
-975.0908456162315,-0.023952115,0.0,0.0,1,-1014.5529007562343,-0.017888505,1.1687928,1.0885515,40.0,-3.1734016,40.0
-857.9424163992492,0.004797997,0.0,0.0,2,-650.6100849164224,0.048086785,1.1417601,1.0399557,60.0,-3.3843994,60.0
-854.4307047062176,-0.046792015,0.0,0.0,3,-655.6549027583995,0.009534558,1.0926552,0.99986637,80.0,-4.1685724,80.0
-795.5542916374527,-0.037918136,0.0,0.0,4,-412.64099198184465,-0.007193083,1.0731535,0.98599863,100.0,-4.170968,100.0
-442.279891996346,-0.06203708,0.0,0.0,5,-341.97786456714897,-0.03237619,1.0533212,0.96795774,120.0,-4.3566008,120.0
-921.4410859398592,-0.05239901,0.0,0.0,6,-479.3413262819199,-0.030173862,1.0304222,0.9536936,140.0,-4.314437,140.0
-260.248739630252,-0.048771538,0.0,0.05,7,-605.8243061209031,-0.03482024,1.0130258,0.9455339,160.0,-4.2116704,160.0
-832.1847139248305,-0.035040252,0.05,0.25,8,-527.5219743918076,-0.038082097,0.9977995,0.9442438,180.0,-5.0402994,180.0
-216.1778614092544,-0.027784484,0.0,0.2,9,-492.1189920725973,-0.029038828,0.9853156,0.9433297,200.0,-4.537147,200.0
-465.4921779915473,-0.022856472,0.15,0.4,10,-271.2245310024348,-0.026897348,0.96812665,0.9407953,220.0,-6.2133064,220.0
-340.2184557964238,-0.024508681,0.3,0.65,11,-227.19731491111673,-0.027788367,0.9563479,0.9415936,240.0,-3.106774,240.0
-214.85922285016184,-0.026132535,0.4,0.8,12,-575.0477720033364,-0.022234,0.9458232,0.93974227,260.0,-4.876259,260.0
-583.6854423296733,-0.020336537,0.3,0.8,13,-301.2290530044167,-0.01771643,0.93666303,0.9410817,280.0,-5.0551395,280.0
-174.43572933038683,-0.01521686,0.35,0.7,14,-204.2336613238773,-0.01777865,0.926828,0.9420615,300.0,-5.197984,300.0
-97.75588638229814,-0.014142767,0.6,0.95,15,-320.82774731697566,-0.023833523,0.9168514,0.94152164,320.0,-5.278228,320.0
-225.36118816765148,-0.0119394325,0.6,1.0,16,-179.95400424046596,-0.030234218,0.9091851,0.9431956,340.0,-4.1326585,340.0
-225.06782614476379,-0.015393444,0.5,0.35,17,-280.13198917744467,-0.03523596,0.90407926,0.94399214,360.0,-3.9895287,360.0
-313.45700877718986,-0.012764104,0.65,1.0,18,-107.52302417132823,-0.031164557,0.8986883,0.9442614,380.0,-3.4650486,380.0
-224.19334777958557,-0.010759804,0.55,0.8,19,-168.96555600748286,-0.022325307,0.8948039,0.94978166,400.0,-4.0964303,400.0
