train/episode,train/reward,stats_o/std,test/success_rate,stats_o/mean,stats_g/std,test/reward,stats_g/mean,epoch,test/episode,train/success_rate,test/mean_Q
20.0,-1232.4502812950439,1.2328794,0.0,0.15489402,1.0211551,-1313.735901090249,0.046493374,0,20.0,0.0,-2.8956387
40.0,-1123.8421436232975,1.2463464,0.0,0.099339105,1.014813,-692.6537499845198,0.0052917115,1,40.0,0.0,-3.76716
60.0,-1206.5293828750948,1.2156296,0.0,0.06856643,0.9897553,-637.072696032678,-0.005116284,2,60.0,0.0,-4.206192
80.0,-839.0788923137819,1.1834543,0.0,0.07375162,0.97438526,-404.0328244165988,0.024118433,3,80.0,0.0,-4.1508307
100.0,-935.0002132398724,1.1975226,0.1,0.069799416,0.9879626,-537.9066570423954,0.05855363,4,100.0,0.0,-4.464468
120.0,-928.336758223822,1.2000885,0.35,0.03186339,0.99431896,-408.4438496826384,0.042149536,5,120.0,0.0,-5.10711
140.0,-802.9925757842883,1.1961246,0.55,0.027323171,0.99239194,-293.6503163821518,0.028210565,6,140.0,0.0,-4.4692554
160.0,-605.6583632744679,1.186037,0.9,0.017423453,0.98723376,-337.47870319461595,0.029469684,7,160.0,0.0,-4.009006
180.0,-1293.8723899482786,1.1844745,0.9,0.009615663,0.9851813,-358.71002587236075,0.02514686,8,180.0,0.0,-4.2654066
200.0,-1085.5379505648789,1.1875243,0.85,0.0066674976,0.98246664,-351.74090160708454,0.028694186,9,200.0,0.0,-4.5163856
220.0,-852.9147167821438,1.1889199,0.95,-0.009623288,0.98091006,-264.008083049322,0.016670614,10,220.0,0.0,-3.6152089
240.0,-1218.4750747654623,1.184431,1.0,-0.00852732,0.979313,-207.72586994526267,0.007694699,11,240.0,0.0,-3.994514
260.0,-1273.7015550348192,1.1790255,1.0,-0.0115403915,0.9808375,-213.09415743982024,0.00015370548,12,260.0,0.0,-4.247847
280.0,-1018.0588166353897,1.1716068,1.0,-0.021554284,0.97686243,-102.16499627797964,-0.004773522,13,280.0,0.0,-4.0288763
300.0,-1448.3996208396338,1.1708759,1.0,-0.019414652,0.9760705,-122.546942800842,-0.0028152699,14,300.0,0.0,-3.8440952
320.0,-1086.184109406277,1.1651907,1.0,-0.024496866,0.970175,-103.1026094658018,-0.004025923,15,320.0,0.0,-4.461406
340.0,-871.699020461192,1.1565497,1.0,-0.02729032,0.9628321,-251.70084030139327,-0.002553125,16,340.0,0.0,-4.539939
360.0,-746.7600230533086,1.1459589,1.0,-0.026119173,0.9581054,-129.92075625030088,-0.0014334908,17,360.0,0.0,-4.176442
380.0,-903.0180902358453,1.1412985,1.0,-0.030589493,0.9524838,-178.02518123252068,-0.0031581502,18,380.0,0.0,-4.5311327
400.0,-948.2638196704777,1.1358126,1.0,-0.029376917,0.9495411,-53.80669831023809,-0.0006602346,19,400.0,0.0,-4.287599
