test/success_rate,train/episode,test/episode,epoch,stats_o/std,stats_g/std,train/reward,stats_o/mean,test/mean_Q,train/success_rate,stats_g/mean,test/reward
0.0,20.0,20.0,0,1.1661006,0.96107936,-993.90461235256,0.07456054,-3.1393836,0.0,-0.038172618,-1166.9154093085788
0.0,40.0,40.0,1,1.200536,0.9853527,-1186.3645717022207,0.05478943,-3.5566475,0.0,0.024460245,-688.0380091530612
0.0,60.0,60.0,2,1.1989272,0.99430645,-946.1969063743076,0.034409225,-4.016437,0.0,0.04617484,-719.198276970302
0.0,80.0,80.0,3,1.1904322,0.9863348,-717.8545704865988,0.006730374,-4.586371,0.0,0.00017358456,-932.3957218726858
0.05,100.0,100.0,4,1.176162,0.9759932,-956.2344470499484,-0.0024127997,-4.7877145,0.0,-0.008790668,-447.61075369120226
0.15,120.0,120.0,5,1.173941,0.9787008,-716.7648962946281,0.017245993,-4.981002,0.0,0.014671619,-500.7642802707255
0.75,140.0,140.0,6,1.1654661,0.9794595,-1218.414218400764,0.026844712,-4.68479,0.0,0.0316806,-165.6045346957501
1.0,160.0,160.0,7,1.1648555,0.97959715,-1189.0647041653133,0.0278996,-5.072936,0.0,0.022119973,-475.59754893343893
0.8,180.0,180.0,8,1.1644678,0.9741148,-955.932668875267,0.019615382,-4.2119074,0.0,0.016033098,-263.9914319372965
1.0,200.0,200.0,9,1.1595395,0.97173345,-1308.6948533427608,0.01959905,-4.0625343,0.0,0.010228173,-310.16413277541784
1.0,220.0,220.0,10,1.161194,0.97114044,-1438.0963805535257,0.017915297,-4.522188,0.0,0.01446316,-238.7935579621656
1.0,240.0,240.0,11,1.1541013,0.96641445,-748.1614814470934,0.01635421,-4.604759,0.0,0.01816367,-228.51262752057394
0.95,260.0,260.0,12,1.1559684,0.96834147,-750.8285006382764,0.010795492,-4.5406504,0.0,0.012213884,-151.15046686470163
0.95,280.0,280.0,13,1.149459,0.9636642,-784.5367974766914,0.012320785,-4.288036,0.0,0.013409242,-164.48017061173562
1.0,300.0,300.0,14,1.1401236,0.9593189,-1158.3009308533406,0.009711235,-4.861391,0.0,0.006958888,-210.6616597661713
1.0,320.0,320.0,15,1.1409459,0.9566922,-1377.3824644457745,0.019583538,-4.0276303,0.0,0.007158447,-97.24085434614493
1.0,340.0,340.0,16,1.144566,0.95741147,-1194.1170760388027,0.012829487,-4.9007387,0.0,0.00215196,-177.5489167009703
1.0,360.0,360.0,17,1.1433022,0.9544613,-1337.7185222103208,0.020823129,-4.8639364,0.0,0.00038593903,-161.60785690284888
1.0,380.0,380.0,18,1.1359569,0.9492562,-1082.613253016319,0.02520401,-4.4897566,0.0,0.00092385197,-133.51228148821002
1.0,400.0,400.0,19,1.1362208,0.95111126,-940.176640166074,0.00972483,-4.6387577,0.0,-0.008107256,-160.1994965601935
