test/mean_Q,train/reward,test/success_rate,stats_o/std,stats_g/mean,stats_g/std,train/success_rate,test/reward,epoch,test/episode,stats_o/mean,train/episode
-2.9426398,-1430.0152785716743,0.0,1.2559857,-0.060663577,1.0517851,0.0,-1061.4632568547318,0,20.0,-0.08974057,20.0
-4.0064178,-810.7604336235177,0.0,1.2756958,0.06688053,1.0585423,0.0,-1001.1940176960128,1,40.0,0.011774566,40.0
-5.2744513,-961.8273320780239,0.0,1.2492611,0.07007392,1.0465301,0.0,-908.5826350492454,2,60.0,-0.027697338,60.0
-4.673043,-1484.303354829064,0.0,1.2269555,0.07071415,1.0312464,0.0,-740.4240763399697,3,80.0,0.02166745,80.0
-3.761179,-1095.1261413941174,0.3,1.2235794,0.057323467,1.017637,0.0,-207.92458697518921,4,100.0,-0.002409719,100.0
-4.9758673,-646.2634531202741,0.45,1.1959124,0.039038464,0.99720955,0.0,-437.62747031937266,5,120.0,0.01410139,120.0
-4.741362,-911.1687323048696,0.65,1.1790224,0.02069143,0.9866252,0.0,-267.53844049354757,6,140.0,0.0040477533,140.0
-5.337442,-987.2574532517092,1.0,1.169678,0.0020337203,0.990426,0.0,-456.25504724438116,7,160.0,-0.012402136,160.0
-4.48167,-1217.9546678664394,0.8,1.1704957,0.016071014,0.9864402,0.0,-236.75844764457173,8,180.0,-0.012553219,180.0
-3.8031285,-875.415118944138,1.0,1.168584,-0.003292271,0.9855193,0.0,-288.42106179526974,9,200.0,-0.01882244,200.0
-4.3754787,-962.1701984600153,1.0,1.1599483,-0.0027049957,0.97692156,0.0,-265.25842501176544,10,220.0,-0.019369982,220.0
-3.6942534,-1041.2636311753465,0.95,1.1540145,0.0025297045,0.9708955,0.0,-234.81052052710191,11,240.0,0.0037590717,240.0
-4.107119,-813.2528254705481,1.0,1.1534543,0.0019501061,0.9718247,0.0,-226.61353842559612,12,260.0,0.002944462,260.0
-3.7925644,-1331.3069822702244,1.0,1.1534716,-0.0039038095,0.96617806,0.0,-141.4002981181262,13,280.0,-0.003035333,280.0
-3.1737685,-802.818525266375,1.0,1.1597762,0.00016245712,0.96807295,0.0,-124.20904346273772,14,300.0,-0.0016859288,300.0
-4.9181104,-985.5959117566927,1.0,1.1566716,-0.0062929075,0.9648292,0.0,-150.99308543531797,15,320.0,-0.005587518,320.0
-4.0481005,-1345.3101341436382,1.0,1.1558841,0.0008744588,0.96269184,0.0,-127.4761815734524,16,340.0,-0.0050369557,340.0
-3.4989038,-1282.5145973115393,1.0,1.1549737,0.003620075,0.96286833,0.0,-91.3332966597675,17,360.0,0.00198395,360.0
-4.547333,-1217.42628195858,1.0,1.1502806,-0.0011048513,0.9588429,0.0,-114.40912829991336,18,380.0,-0.005959121,380.0
-4.600936,-546.040764029736,1.0,1.1483855,0.00054010144,0.95745075,0.0,-127.15682346595842,19,400.0,-0.0076714973,400.0
