epoch,stats_g/std,test/mean_Q,train/episode,test/episode,train/reward,stats_o/mean,stats_o/std,test/success_rate,stats_g/mean,test/reward,train/success_rate
0,1.0823123,-2.6596694,20.0,20.0,-900.9620409431519,0.06490971,1.301126,0.0,0.004211882,-1019.4552440009555,0.0
1,1.0369141,-4.0434656,40.0,40.0,-917.2678944068273,0.08427208,1.2785215,0.0,0.051127974,-805.6693807404066,0.0
2,1.0319784,-4.100705,60.0,60.0,-1380.8096020300443,-0.0022193752,1.2630804,0.0,-0.018614067,-609.2579228888872,0.0
3,1.0293702,-4.7352934,80.0,80.0,-631.4370154286146,-0.02575093,1.2405553,0.0,-0.0017133194,-461.34710828050606,0.0
4,1.0197425,-4.711425,100.0,100.0,-1259.5131512913215,0.017123513,1.228111,0.15,0.01445848,-488.014627082837,0.0
5,1.0054772,-4.412741,120.0,120.0,-1066.6661446253522,-0.01386033,1.2179891,0.4,-0.004882504,-138.6202581905321,0.0
6,0.9977277,-4.9523435,140.0,140.0,-707.6131670105232,-0.022965163,1.1986426,0.5,-0.002504753,-193.0565169769667,0.0
7,1.0070465,-5.120188,160.0,160.0,-917.8462295135671,-0.03071928,1.2046261,0.8,-0.012685789,-341.9780095619432,0.0
8,1.0023317,-4.457782,180.0,180.0,-1138.771806781377,-0.03689701,1.20585,1.0,-0.0024763485,-272.06578522933506,0.0
9,0.995333,-4.0923676,200.0,200.0,-578.1741940979362,-0.037959475,1.1971021,1.0,-0.007930863,-137.4673001421052,0.0
10,0.9909965,-4.7758584,220.0,220.0,-917.8333346486264,-0.03838304,1.1922677,1.0,-0.012213125,-179.5633634569366,0.0
11,0.99196297,-4.3216825,240.0,240.0,-986.3383179523368,-0.043817014,1.1913066,1.0,-0.01333552,-149.3799479308433,0.0
12,0.9825947,-3.8118641,260.0,260.0,-966.0408793827972,-0.04477582,1.1798624,1.0,-0.012110568,-209.16708789640765,0.0
13,0.9753865,-6.1032085,280.0,280.0,-643.8822078636769,-0.040294297,1.1747451,0.75,-0.010972623,-31.41701396178877,0.0
14,0.980515,-4.553768,300.0,300.0,-1365.4413264135687,-0.036948934,1.182515,1.0,-0.0041357884,-106.24224581637786,0.0
15,0.97238815,-4.9782734,320.0,320.0,-548.5327681881537,-0.035037916,1.1721653,1.0,-0.003443874,-174.43450006941475,0.0
16,0.97033364,-4.5028486,340.0,340.0,-616.8848036014856,-0.028094234,1.1683849,1.0,-0.006313212,-178.25275664305187,0.0
17,0.9647984,-4.2646875,360.0,360.0,-1023.4931960501452,-0.020470563,1.1614206,1.0,-0.0109614795,-77.3705909532293,0.0
18,0.96006405,-4.7619467,380.0,380.0,-1310.219544736279,-0.017480783,1.1570663,1.0,-0.0113047045,-118.49237703043661,0.0
19,0.9568282,-5.3167696,400.0,400.0,-799.4402606740645,-0.014595013,1.151981,0.9,-0.009362341,-236.74772853586953,0.0
