epoch,test/success_rate,test/mean_Q,stats_g/std,stats_o/mean,train/episode,test/reward,stats_g/mean,train/success_rate,stats_o/std,test/episode,train/reward
0,0.0,-2.9708862,1.0625055,0.07714874,20.0,-887.1967741922408,-0.044699922,0.0,1.2063953,20.0,-1015.3622072080193
1,0.0,-3.4678605,1.0345786,0.103519216,40.0,-911.3975057526519,-0.0014087248,0.0,1.2413199,40.0,-1213.984399988581
2,0.0,-5.0194726,1.0257081,0.120488346,60.0,-738.10267288833,0.053163182,0.0,1.2398646,60.0,-1218.9934744719837
3,0.05,-3.894193,1.0163755,0.106569014,80.0,-540.2818745671466,0.051405173,0.0,1.2169664,80.0,-799.3285176115542
4,0.1,-4.5237594,1.0089939,0.09268591,100.0,-696.2211369597945,0.062394314,0.0,1.2038343,100.0,-1261.7259469262472
5,0.35,-4.8968525,1.0016587,0.084732935,120.0,-326.4429388461042,0.07655051,0.0,1.196362,120.0,-761.7206833099582
6,0.55,-5.854549,0.9998062,0.07403568,140.0,-388.87263382630044,0.06894696,0.0,1.1939298,140.0,-651.154031456986
7,0.8,-4.7398996,0.9987639,0.07355109,160.0,-418.6182068884521,0.070950076,0.0,1.1906979,160.0,-564.475660639147
8,0.8,-3.7554352,0.99711293,0.061061718,180.0,-164.4524714471253,0.049029488,0.0,1.18625,180.0,-1087.1810896862778
9,0.95,-5.0954943,0.99252355,0.0660899,200.0,-298.26226430192173,0.042782143,0.0,1.1811411,200.0,-1051.1163679202696
10,1.0,-4.981022,0.98184204,0.06457588,220.0,-222.8386997452715,0.035666026,0.0,1.1664836,220.0,-598.5398057895725
11,1.0,-5.1610594,0.9789055,0.058911253,240.0,-240.51377605974542,0.030314807,0.0,1.1713421,240.0,-1105.6360735386108
12,1.0,-4.735595,0.974839,0.052515257,260.0,-323.01075967426624,0.025490742,0.0,1.1658299,260.0,-1341.0430595071205
13,1.0,-3.9880834,0.96964294,0.051909354,280.0,-157.76600284142154,0.029373404,0.0,1.1597332,280.0,-686.095887695233
14,1.0,-4.6297603,0.97196066,0.04451625,300.0,-190.0887874037248,0.023843935,0.0,1.1625369,300.0,-865.5615861310436
15,1.0,-3.4858449,0.9699645,0.033696927,320.0,-174.15497827648517,0.022043644,0.0,1.1594634,320.0,-781.4538679348337
16,1.0,-4.152818,0.9638877,0.032283727,340.0,-126.32068338731199,0.020719945,0.0,1.1515009,340.0,-815.8810857831481
17,1.0,-3.9112053,0.9619385,0.025992328,360.0,-68.17279624613798,0.0179509,0.0,1.1519362,360.0,-1155.4466767953206
18,1.0,-5.073383,0.9635928,0.029764654,380.0,-95.37256956378572,0.020349791,0.0,1.1512401,380.0,-595.430588438766
19,1.0,-4.7352505,0.95800316,0.029875476,400.0,-153.132122067094,0.020889971,0.0,1.1478146,400.0,-963.1646383499426
