stats_g/std,train/reward,stats_g/mean,test/mean_Q,test/episode,test/success_rate,test/reward,stats_o/mean,train/episode,stats_o/std,train/success_rate,epoch
1.0161165,-887.9500394912603,0.02914711,-2.9902694,20.0,0.0,-1059.9182164236681,0.019117303,20.0,1.1582831,0.0,0
1.0318189,-1104.3098816868717,-0.06875077,-3.8439116,40.0,0.0,-738.5144064799374,-0.11172055,40.0,1.1995333,0.0,1
1.0126014,-964.6404842091495,-0.0358451,-4.512882,60.0,0.0,-760.7453988443981,-0.056386206,60.0,1.1784571,0.0,2
1.015827,-1211.5379786581184,-0.018297601,-5.537203,80.0,0.0,-807.6606142297455,-0.049594734,80.0,1.1969068,0.0,3
1.0149286,-1017.3198577794398,-0.0073159216,-3.9540844,100.0,0.05,-533.1771615645847,-0.0151952,100.0,1.2158381,0.0,4
1.0088856,-1495.3539419741053,0.010580415,-5.8459525,120.0,0.15,-652.7699837289324,-0.026074352,120.0,1.2038655,0.0,5
0.99834013,-1567.0081339886071,0.03389155,-4.376905,140.0,0.55,-386.7853823020883,0.0069902414,140.0,1.2017405,0.0,6
0.9949545,-1207.708650578968,0.016212303,-4.9816575,160.0,0.9,-401.60994254528003,-0.008647778,160.0,1.1930486,0.0,7
0.98770297,-1135.0221397044363,0.012614973,-3.7411988,180.0,1.0,-276.57094299799724,-0.008792464,180.0,1.1833212,0.0,8
0.9874329,-542.5624620997895,0.022326594,-4.7861876,200.0,1.0,-417.6297445085217,-0.00015191827,200.0,1.1769819,0.0,9
0.9794004,-945.7022134524597,0.012764652,-4.386937,220.0,1.0,-318.1471269383205,0.0003085616,220.0,1.1695209,0.0,10
0.9772928,-568.6788948250164,0.015302671,-5.20527,240.0,1.0,-197.8552060692632,0.0073366445,240.0,1.1668808,0.0,11
0.9722345,-1026.6849217250706,0.006142867,-4.5757437,260.0,0.95,-211.52221138488048,-0.002442846,260.0,1.1546297,0.0,12
0.97002196,-335.9885551772347,-0.0031984553,-4.3746624,280.0,1.0,-191.66845542489514,-0.0126001835,280.0,1.155966,0.0,13
0.97009706,-1380.284765468171,0.00017320889,-4.2710104,300.0,1.0,-93.45638584450153,-0.008739562,300.0,1.1578157,0.0,14
0.9662931,-1438.2504490158358,-0.0019732162,-3.8221443,320.0,1.0,-167.61317509758578,-0.011958655,320.0,1.1517214,0.0,15
0.96412754,-1049.6960360537062,0.005586893,-4.573802,340.0,0.95,-167.2625998148884,-0.007356818,340.0,1.1463649,0.0,16
0.96372056,-885.444367467909,0.0081326645,-4.333213,360.0,1.0,-76.39226248280148,-0.00475923,360.0,1.1468724,0.0,17
0.9598111,-882.813269054226,0.0096587,-3.7179737,380.0,1.0,-71.89010012350268,-0.0026191166,380.0,1.1466485,0.0,18
0.9568253,-799.573911112727,0.017355204,-4.674397,400.0,1.0,-145.2719642607602,-0.0039123036,400.0,1.1400001,0.0,19
