stats_o/std,test/episode,test/reward,test/success_rate,test/mean_Q,train/success_rate,stats_o/mean,epoch,stats_g/std,stats_g/mean,train/reward,train/episode
1.212579,20.0,-1248.4628368457822,0.0,-3.0763464,0.0,-0.013476762,0,1.0241162,-0.049589925,-1056.0608978850587,20.0
1.2053345,40.0,-882.1842412920972,0.0,-3.6966488,0.0,0.07690264,1,1.0054041,0.015835682,-932.6046957554559,40.0
1.2166581,60.0,-312.87928340518357,0.0,-3.8569865,0.0,0.05346463,2,1.0076151,-0.006772537,-1455.179254943406,60.0
1.1887748,80.0,-298.62551556387604,0.05,-4.1730337,0.0,0.030874869,3,0.99449605,-0.0010076752,-694.5152894636811,80.0
1.1731826,100.0,-538.9351198746381,0.05,-4.5281725,0.0,0.064903945,4,0.9791329,0.0053375056,-903.7681302922101,100.0
1.1528441,120.0,-508.2122073221935,0.15,-4.0464373,0.0,0.05308954,5,0.96473384,0.008629285,-1056.905578530242,120.0
1.1634152,140.0,-273.93362611411806,0.6,-4.0320463,0.0,0.019582693,6,0.9759901,0.009009715,-848.2116081087216,140.0
1.1547803,160.0,-363.75705318998763,0.6,-4.510442,0.0,0.041159958,7,0.9704252,0.015668375,-723.5284754651195,160.0
1.1381925,180.0,-132.50681137663332,0.9,-3.866696,0.0,0.028712332,8,0.95616925,0.011222279,-741.5894913502582,180.0
1.1332067,200.0,-138.96657323912308,1.0,-4.055827,0.0,-0.0033697314,9,0.9522939,0.0023352597,-1039.5244310975538,200.0
1.1288706,220.0,-165.87126976886287,0.95,-4.5553594,0.0,-0.0148280915,10,0.94736564,-0.0020043554,-1030.3727479477438,220.0
1.1245717,240.0,-149.47372929478377,0.9,-4.0817475,0.0,-0.014316883,11,0.9408846,0.0011957819,-595.0408779971843,240.0
1.1208546,260.0,-243.1442596965968,0.95,-3.8160198,0.0,-0.02525049,12,0.9354607,-0.0019651465,-1040.2028596119292,260.0
1.121249,280.0,-150.3131855898917,0.95,-4.368409,0.0,-0.030636001,13,0.9315663,-0.00813075,-1066.275634360782,280.0
1.1199076,300.0,-173.28789041834784,0.95,-3.9071727,0.0,-0.026007319,14,0.9351651,-0.012647208,-1440.9140764193096,300.0
1.1185638,320.0,-113.46366146907786,1.0,-3.6916134,0.0,-0.026325367,15,0.93565726,-0.01624364,-1240.7896300443085,320.0
1.119335,340.0,-49.57617504127269,1.0,-3.7129664,0.0,-0.023806034,16,0.93416035,-0.0153044555,-1481.5567321895028,340.0
1.1155452,360.0,-211.57581649162026,1.0,-4.708865,0.0,-0.018625244,17,0.93276346,-0.015103913,-780.1397001870811,360.0
1.1126442,380.0,-81.44852034372312,1.0,-4.428668,0.0,-0.019165574,18,0.9332572,-0.01672946,-1213.5060987058384,380.0
1.1087209,400.0,-179.71054843052605,1.0,-3.9282315,0.0,-0.018013868,19,0.9310694,-0.015399382,-694.8771763522435,400.0
