stats_o/std,test/episode,test/reward,epoch,stats_g/mean,test/mean_Q,train/success_rate,stats_g/std,test/success_rate,train/reward,train/episode,stats_o/mean
1.2461464,20.0,-965.6903589416884,0,0.057324097,-3.038353,0.0,1.0094692,0.0,-1396.3796541895967,20.0,-0.008277807
1.2350867,40.0,-528.3008123631505,1,0.057539918,-3.0721028,0.0,1.0177869,0.0,-1604.890498077044,40.0,0.0124102235
1.2128656,60.0,-596.7974044397082,2,0.040767275,-4.3985686,0.0,1.0006075,0.0,-1568.3250740584847,60.0,-0.025858343
1.1945336,80.0,-559.90130884461,3,0.010581208,-5.460998,0.0,0.98795485,0.0,-837.7491585664045,80.0,-0.01626396
1.197794,100.0,-166.9114060485197,4,0.034164958,-3.9387715,0.0,0.994212,0.05,-1129.6094729299355,100.0,0.0111578815
1.1925644,120.0,-637.9062189667195,5,0.021736361,-4.937129,0.0,0.999897,0.25,-948.3716804791139,120.0,-0.005735318
1.184481,140.0,-529.8249550524598,6,-0.0017621559,-4.849199,0.0,0.99565774,0.6,-1320.7327256396368,140.0,-0.025211366
1.1807078,160.0,-333.62773739674407,7,-0.008847433,-4.244353,0.0,0.99078345,0.8,-1080.9331316589758,160.0,-0.037172467
1.182693,180.0,-80.56448037216646,8,0.011230061,-2.9950821,0.0,0.9873704,1.0,-1304.6633382432653,180.0,-0.025839582
1.1854308,200.0,-141.3454555883724,9,0.028998032,-3.8264682,0.0,0.9879013,0.95,-1172.682114292739,200.0,-0.012918303
1.1711646,220.0,-268.587678004212,10,0.022960497,-4.8610725,0.0,0.97892225,1.0,-874.1271937242159,220.0,-0.012778325
1.1705267,240.0,-232.0148554130419,11,0.025024224,-4.2479897,0.0,0.9786161,1.0,-541.9617922332027,240.0,-0.013488785
1.1625152,260.0,-178.34837927640234,12,0.0148093235,-4.692893,0.0,0.9743285,1.0,-866.3406482769506,260.0,-0.013718403
1.1591634,280.0,-224.79608087645687,13,0.019723764,-4.482631,0.0,0.97135895,0.9,-1101.724109944869,280.0,-0.0069197426
1.1618183,300.0,-237.83996623744366,14,0.011150501,-4.3736196,0.0,0.9705663,1.0,-1316.4985578661942,300.0,-0.009183028
1.161074,320.0,-124.20404521660068,15,0.010495885,-4.3976502,0.0,0.96989244,1.0,-870.4635382139414,320.0,-0.012778301
1.162478,340.0,-241.73091054797106,16,0.00995608,-4.5708146,0.0,0.96990556,1.0,-791.0944768340181,340.0,-0.010003467
1.1598729,360.0,-55.13633857087034,17,0.01537843,-3.4698303,0.0,0.9678689,1.0,-1174.4141791654156,360.0,0.0031249346
1.154228,380.0,-181.17698899385894,18,0.01612868,-4.902977,0.0,0.96151644,1.0,-963.5130254375799,380.0,0.005383116
1.149838,400.0,-101.0665275224893,19,0.012223891,-4.0427976,0.0,0.9578074,0.75,-928.4367921571263,400.0,0.0047382144
