train/episode,stats_g/mean,stats_o/mean,train/reward,epoch,stats_o/std,stats_g/std,train/success_rate,test/success_rate,test/episode,test/mean_Q,test/reward
20.0,-0.10433238,-0.08219031,-1366.0029529354297,0,1.2546813,1.0728095,0.0,0.0,20.0,-3.2180138,-649.6446718238011
40.0,-0.029662423,-0.0058616577,-1214.9920539348132,1,1.2342193,1.0522726,0.0,0.0,40.0,-3.8885663,-1227.2367165711032
60.0,0.00041780435,-0.016411614,-1291.8532383588663,2,1.2461627,1.0622476,0.0,0.0,60.0,-4.3695374,-902.9059910612789
80.0,-0.0033891946,0.005120093,-1344.3342350176706,3,1.2419136,1.0557648,0.0,0.0,80.0,-3.9763916,-469.26892478624336
100.0,0.017350387,0.042024646,-918.6856522632255,4,1.2203244,1.0421882,0.0,0.1,100.0,-4.253719,-231.39052679872054
120.0,0.0015699023,0.0422317,-772.4013977290102,5,1.2100434,1.0324652,0.0,0.25,120.0,-5.6235557,-456.2827224144799
140.0,0.0014137566,0.035780903,-1345.3308639868771,6,1.2050111,1.0199232,0.0,0.65,140.0,-5.3753347,-428.85823980739957
160.0,-0.020238657,-0.023008864,-1072.7382598919512,7,1.2053685,1.0127448,0.0,0.7,160.0,-4.558009,-310.24746553102455
180.0,-0.005301495,-0.0033212593,-1114.8820264113679,8,1.1963153,1.0038586,0.0,0.75,180.0,-4.4536676,-302.54067020175086
200.0,-0.019719468,0.004174996,-1047.952739158897,9,1.1962252,1.0024616,0.0,0.95,200.0,-4.420525,-262.44783958401234
220.0,-0.027716314,-0.02421395,-1139.6141147582061,10,1.1914651,1.0022049,0.0,0.8,220.0,-5.025901,-293.24535859818286
240.0,-0.02312389,-0.020690776,-520.9627355170263,11,1.1894577,1.0007721,0.0,1.0,240.0,-4.0270767,-208.7147049598214
260.0,-0.02978007,-0.039472643,-1087.2765716360555,12,1.1792667,0.99179476,0.0,1.0,260.0,-4.450972,-174.2519511102985
280.0,-0.029346194,-0.043954495,-1073.1849371319963,13,1.1676438,0.98420763,0.0,1.0,280.0,-4.103528,-268.97163178275
300.0,-0.02362601,-0.0396687,-1106.2461004382235,14,1.1651078,0.98272145,0.0,1.0,300.0,-3.8666184,-74.02715967588934
320.0,-0.033615563,-0.04800572,-1041.6139455413302,15,1.1637235,0.9778553,0.0,1.0,320.0,-4.0679626,-172.57778151089937
340.0,-0.029692456,-0.037293665,-919.6523227510843,16,1.1605206,0.9757,0.0,1.0,340.0,-3.7395015,-257.0289732737295
360.0,-0.023135606,-0.027472213,-1153.1517025712735,17,1.1553044,0.97370815,0.0,1.0,360.0,-4.6580315,-151.01197152602805
380.0,-0.023526805,-0.02770096,-1303.1577490466059,18,1.1532826,0.9708173,0.0,1.0,380.0,-3.56342,-89.65548697302994
400.0,-0.018011786,-0.027105285,-1188.1862899058365,19,1.1470956,0.96815455,0.0,1.0,400.0,-4.3983426,-94.94905186949221
