test/success_rate,stats_o/std,train/success_rate,stats_o/mean,train/reward,test/mean_Q,test/episode,train/episode,stats_g/mean,stats_g/std,test/reward,epoch
0.0,1.1498482,0.0,-0.09337258,-1145.9884580199264,-2.41168,20.0,20.0,-0.12596866,0.99614847,-421.98309353140354,0
0.0,1.1762036,0.0,-0.040385768,-861.848860515239,-3.6623845,40.0,40.0,-0.026859455,0.9955386,-773.3860507864772,1
0.0,1.2348211,0.0,-0.009735426,-1295.1168493484918,-3.6875396,60.0,60.0,-0.031116754,1.0073097,-601.4147157562551,2
0.0,1.2341359,0.0,-0.0022313842,-1220.5053107411522,-4.1824455,80.0,80.0,-0.0049831057,1.0199809,-706.5348466734357,3
0.2,1.2388887,0.0,0.006836292,-1343.1823644054048,-4.16641,100.0,100.0,0.0036822194,1.0174947,-250.88015509636898,4
0.1,1.2243809,0.0,-0.0139256595,-1068.9322181928424,-4.513135,120.0,120.0,-0.009638721,1.0111129,-262.6421202037069,5
0.65,1.2048261,0.0,-0.022109538,-828.4327149018781,-5.0507,140.0,140.0,-0.006333158,1.0061215,-338.76123604158215,6
0.55,1.1999807,0.0,-0.008475708,-783.9964429646191,-3.8301437,160.0,160.0,0.0003746755,1.0001704,-256.84004533395176,7
1.0,1.1979485,0.0,-0.01470595,-648.8216180885973,-3.7271862,180.0,180.0,-0.006424484,0.99941957,-161.17174320451494,8
0.95,1.1987426,0.0,-0.017600395,-1011.4749055104835,-4.564405,200.0,200.0,-0.016484555,0.99642175,-249.96121473050107,9
1.0,1.184638,0.0,-0.0065791295,-794.7146692180842,-3.869622,220.0,220.0,-0.007103948,0.99296236,-274.612164902149,10
1.0,1.1767021,0.0,0.0003904542,-1134.2001345677943,-3.8817658,240.0,240.0,-0.008149986,0.99057937,-264.30022638764314,11
1.0,1.174091,0.0,0.0043369164,-1319.6789078778545,-3.8701096,260.0,260.0,-8.9645386e-05,0.98786163,-224.18711727417585,12
1.0,1.1689025,0.0,0.011681786,-747.0184424354384,-4.3393154,280.0,280.0,0.010897287,0.9810041,-107.07595603202063,13
1.0,1.167772,0.0,0.0028094223,-920.0927720557687,-3.9916806,300.0,300.0,0.0073495395,0.9793488,-120.57557902718247,14
1.0,1.1688727,0.0,0.007929601,-788.1125304104692,-4.5227127,320.0,320.0,0.008491858,0.9764814,-240.94218386526902,15
1.0,1.1665407,0.0,0.0025737425,-725.2750824847578,-3.907872,340.0,340.0,0.0017962884,0.97435546,-133.1993156882608,16
1.0,1.1629369,0.0,0.011183694,-947.4919462660737,-3.7821517,360.0,360.0,0.010325935,0.97129846,-93.63235139436696,17
1.0,1.1601841,0.0,0.0051431092,-820.2456418780233,-4.8601837,380.0,380.0,0.007001981,0.96787983,-207.59746320930054,18
1.0,1.152935,0.0,-0.0049008615,-455.859849421918,-3.72609,400.0,400.0,0.0015662871,0.9615083,-137.59699229624994,19
