test/mean_Q,stats_g/std,train/reward,train/episode,epoch,stats_o/std,test/episode,stats_g/mean,train/success_rate,stats_o/mean,test/success_rate,test/reward
-2.6297219,0.98253936,-1284.3294104321592,20.0,0,1.1573799,20.0,-0.07311327,0.0,-0.12436131,0.0,-486.64667147696576
-3.8113332,1.0040357,-925.228217981497,40.0,1,1.179497,40.0,-0.092396274,0.0,-0.1708022,0.0,-461.01683753616044
-4.033915,1.0245131,-1158.0428161118857,60.0,2,1.2203617,60.0,-0.045702558,0.0,-0.082036644,0.0,-352.96059831998184
-3.9608238,1.0383968,-899.3486938358112,80.0,3,1.2297819,80.0,-0.043713488,0.0,-0.080979556,0.0,-647.8738616277617
-5.433946,1.0353669,-1299.5080529940808,100.0,4,1.2412086,100.0,-0.03155005,0.0,-0.07489163,0.05,-539.6897558997549
-5.1425548,1.0320723,-985.7259439317302,120.0,5,1.2249606,120.0,-0.058922686,0.0,-0.10953734,0.05,-674.6505648822598
-3.4565196,1.029517,-1615.5414275149146,140.0,6,1.2211735,140.0,-0.054886356,0.0,-0.10662821,0.75,-181.43411103013545
-4.387793,1.0154643,-1152.8878068121423,160.0,7,1.2061654,160.0,-0.05383656,0.0,-0.092840135,0.75,-384.9087809567754
-4.548522,1.0005634,-732.1494131580778,180.0,8,1.1861259,180.0,-0.044854157,0.0,-0.07476297,0.95,-335.7889389033577
-4.9960794,0.995772,-789.4950883731914,200.0,9,1.1796651,200.0,-0.04697226,0.0,-0.079798445,0.95,-229.10571371225794
-4.441809,0.99573994,-1220.3389515056888,220.0,10,1.1733813,220.0,-0.055901445,0.0,-0.0830351,0.95,-185.15500483417418
-4.58181,0.9879841,-1073.1906494022603,240.0,11,1.1685847,240.0,-0.062749766,0.0,-0.079782575,0.75,-160.83404565638523
-4.440072,0.98804617,-1126.4606138411964,260.0,12,1.1678457,260.0,-0.06618114,0.0,-0.07996,1.0,-124.0208847349723
-5.3937216,0.98137444,-1135.5343019653155,280.0,13,1.1665694,280.0,-0.064463764,0.0,-0.065605134,1.0,-262.9679137520884
-4.699916,0.97772926,-751.6464253111897,300.0,14,1.1621941,300.0,-0.05545037,0.0,-0.065451935,1.0,-160.6255400454124
-4.358376,0.974404,-710.8262480584063,320.0,15,1.1569564,320.0,-0.05104346,0.0,-0.055495396,1.0,-184.45164732798955
-4.101001,0.9698977,-694.6512709232902,340.0,16,1.1501229,340.0,-0.040818542,0.0,-0.05032511,1.0,-141.65069675450576
-5.037242,0.96908474,-894.3624615983755,360.0,17,1.1494181,360.0,-0.042321928,0.0,-0.05159065,1.0,-206.0335317014962
-4.8439713,0.9680287,-1188.8739985761822,380.0,18,1.1443114,380.0,-0.039224606,0.0,-0.044398487,1.0,-190.82246295859258
-4.1493616,0.9635029,-1188.3026432106199,400.0,19,1.1397089,400.0,-0.035627194,0.0,-0.03286812,1.0,-138.11811927589997
