stats_g/std,test/episode,stats_o/std,train/reward,stats_g/mean,test/success_rate,test/reward,train/episode,stats_o/mean,train/success_rate,test/mean_Q,epoch
0.9774313,20.0,1.172945,-978.7381753400729,0.035894446,0.0,-931.6659620241196,20.0,0.008806487,0.0,-2.5304737,0
1.0007622,40.0,1.2036711,-1252.0246791654436,0.053750228,0.0,-1239.6777572580927,40.0,0.058015432,0.0,-3.8012137,1
0.9883564,60.0,1.192435,-1055.9499353878566,0.08497821,0.0,-647.0653634644109,60.0,0.085444726,0.0,-4.470395,2
0.98267967,80.0,1.1850519,-892.1142526049745,0.04139146,0.05,-428.08179598647604,80.0,0.07021116,0.0,-4.243469,3
0.99436086,100.0,1.2019286,-977.6140377414797,0.05201505,0.1,-344.63579518236725,100.0,0.067999974,0.0,-3.7561584,4
1.010285,120.0,1.2024658,-906.9650888915575,0.018852448,0.5,-462.69464098289,120.0,0.046709582,0.0,-5.026975,5
1.0099716,140.0,1.193491,-1203.1298702573245,0.028755933,0.75,-541.4323992351433,140.0,0.03390971,0.0,-4.902787,6
1.0012584,160.0,1.1837972,-896.6783056944481,0.039121818,0.65,-548.8996095688301,160.0,0.024586808,0.0,-5.1854053,7
0.99247324,180.0,1.1724526,-873.4829719506929,0.049598232,1.0,-275.1337214833275,180.0,0.044493925,0.0,-3.8193173,8
0.9840795,200.0,1.1635094,-1017.6232090177577,0.049213436,1.0,-140.397167838782,200.0,0.04502954,0.0,-4.7279253,9
0.98183024,220.0,1.1609669,-866.5489470339104,0.03945018,1.0,-325.95336911776457,220.0,0.035421014,0.0,-4.9266686,10
0.97713333,240.0,1.1593566,-679.0965488677058,0.032698814,1.0,-139.45221769368,240.0,0.037282635,0.0,-4.0643034,11
0.9723253,260.0,1.153804,-950.4570347018517,0.029869065,1.0,-207.8943886118903,260.0,0.03502227,0.0,-5.3196974,12
0.967257,280.0,1.1515625,-935.7164236701844,0.030124199,1.0,-134.1301576889185,280.0,0.031162402,0.0,-3.6879826,13
0.9656726,300.0,1.1501889,-951.9038972061826,0.023130348,1.0,-290.4045317549575,300.0,0.026897606,0.0,-4.7056603,14
0.96280813,320.0,1.1492631,-1063.6456351248098,0.01798755,1.0,-149.6874207135467,320.0,0.013857999,0.0,-4.4667754,15
0.9642979,340.0,1.1520326,-1049.4875550409515,0.017991433,1.0,-130.72770772636323,340.0,0.010691464,0.0,-4.3629293,16
0.9643558,360.0,1.1495849,-918.8758705282147,0.013038189,1.0,-166.10975152146796,360.0,0.015110299,0.0,-3.780899,17
0.95850956,380.0,1.1450489,-985.3278294619837,0.009789496,1.0,-121.99769536106966,380.0,0.02034382,0.0,-3.8462257,18
0.9554597,400.0,1.1411417,-1201.8543766381435,0.01600463,1.0,-90.56380404576747,400.0,0.028219666,0.0,-4.5633307,19
