epoch,stats_o/mean,stats_o/std,stats_g/mean,test/mean_Q,train/success_rate,test/reward,train/reward,train/episode,stats_g/std,test/episode,test/success_rate
0,0.19364083,1.0986121,0.19198254,-3.0311685,0.0,-1041.1006518746249,-1300.2500102032102,20.0,0.9448241,20.0,0.0
1,0.11142243,1.1512324,0.16210149,-3.887764,0.0,-830.7301505835242,-841.5413579897732,40.0,0.97694266,40.0,0.0
2,0.09512299,1.1572684,0.11282658,-3.4747715,0.0,-550.3069108101156,-843.9605926224463,60.0,0.98402,60.0,0.0
3,0.0821327,1.1362338,0.08601942,-3.8722973,0.0,-404.5859617290297,-1074.2256695009485,80.0,0.97612405,80.0,0.0
4,0.07647238,1.1306627,0.07590777,-4.8043,0.0,-417.7398713249118,-1267.8031616741437,100.0,0.9663507,100.0,0.0
5,0.040016383,1.1430949,0.05263827,-4.7420287,0.0,-537.1673766989377,-798.202860318717,120.0,0.97584265,120.0,0.5
6,0.030011263,1.1289122,0.029135497,-4.6753798,0.0,-162.82780943129424,-730.7037292921792,140.0,0.96388245,140.0,0.4
7,0.019927636,1.123882,0.023939818,-3.907908,0.0,-241.9667607487025,-506.21773831869365,160.0,0.9552585,160.0,0.95
8,0.029459417,1.1263642,0.019194879,-4.2087145,0.0,-135.26748172020848,-827.9311493117107,180.0,0.95442593,180.0,0.95
9,0.029039042,1.1307639,0.029346472,-4.792365,0.0,-331.46875516309547,-1388.104326333893,200.0,0.9552125,200.0,0.95
10,0.03365691,1.1339797,0.027992353,-4.3890142,0.0,-192.2017698123893,-1158.7267227145278,220.0,0.9533108,220.0,1.0
11,0.021360839,1.1309377,0.022810288,-4.085185,0.0,-275.97251937030035,-1013.7987623476704,240.0,0.95484823,240.0,1.0
12,0.025125664,1.1276097,0.02937147,-5.024806,0.0,-268.91902432806353,-1185.985861848735,260.0,0.95553136,260.0,0.95
13,0.024293222,1.1205661,0.027190572,-4.221445,0.0,-278.3646510400883,-914.9291687725452,280.0,0.94805825,280.0,0.95
14,0.031293966,1.1251882,0.02674494,-3.9353821,0.0,-248.5292925398515,-1354.285213439988,300.0,0.94891727,300.0,1.0
15,0.019071136,1.1271627,0.024828918,-4.791956,0.0,-221.25790707121283,-1189.5891722592735,320.0,0.94818145,320.0,1.0
16,0.016914103,1.1269842,0.023336768,-4.364656,0.0,-80.4678935949461,-1364.7773894884344,340.0,0.94665444,340.0,1.0
17,0.00863683,1.1252671,0.0202904,-3.958699,0.0,-66.56380499491158,-912.5231929050493,360.0,0.9451988,360.0,1.0
18,0.0051769475,1.1228423,0.022196382,-4.501554,0.0,-129.19260205478355,-960.0064700688567,380.0,0.94152474,380.0,1.0
19,0.0074274926,1.1188645,0.026869752,-4.9722195,0.0,-196.61117203537492,-754.2228239820258,400.0,0.9377734,400.0,1.0
