test/reward,test/episode,epoch,stats_g/std,stats_g/mean,test/success_rate,test/mean_Q,train/reward,train/episode,stats_o/std,stats_o/mean,train/success_rate
-1262.0009120268128,20.0,0,0.9797423,-0.06627712,0.0,-2.9080796,-1375.9386517754251,20.0,1.1070652,-0.056937218,0.0
-589.5619283178737,40.0,1,0.9514594,0.002699241,0.0,-2.8766084,-1148.68713115767,40.0,1.0759654,0.08615355,0.0
-820.4212730851701,60.0,2,0.96177846,0.0029622838,0.0,-4.0880103,-856.6461773498576,60.0,1.1087987,0.060325295,0.0
-447.2925643541904,80.0,3,0.9549061,-0.039773934,0.0,-4.360791,-913.2126973097072,80.0,1.1171118,0.021613315,0.0
-448.6542341487402,100.0,4,0.953014,-0.013699636,0.2,-4.320484,-660.224796999777,100.0,1.1053193,0.0013189856,0.0
-409.6115247555605,120.0,5,0.96088,-0.010691192,0.3,-4.225075,-1210.3569859673034,120.0,1.1237652,0.008677217,0.0
-198.33349629398595,140.0,6,0.9698271,0.004914347,0.85,-3.7475438,-1116.2796641336872,140.0,1.1280268,0.00646591,0.0
-367.49055927500365,160.0,7,0.95993096,-0.004131697,1.0,-4.299939,-979.8915539183062,160.0,1.1174787,0.0028036963,0.0
-321.04393938028056,180.0,8,0.9673346,-0.006871484,0.95,-4.448503,-861.4286692573664,180.0,1.1219666,0.008144139,0.0
-275.6860084939671,200.0,9,0.9715514,0.008419231,0.85,-4.0168676,-1064.2461267082583,200.0,1.1284693,0.016461862,0.0
-308.84950435775494,220.0,10,0.976501,-0.0023426674,0.75,-4.832689,-905.3525670047223,220.0,1.1346711,-0.004328985,0.0
-185.96363162138525,240.0,11,0.97429836,-0.022514734,1.0,-3.4948013,-719.6898954238684,240.0,1.140592,-0.021806013,0.0
-77.19090139001443,260.0,12,0.97460264,-0.029897735,1.0,-4.569711,-986.1487941992044,260.0,1.1355991,-0.037302986,0.0
-131.75930416370355,280.0,13,0.9740362,-0.03471202,1.0,-3.6069686,-760.4497856731022,280.0,1.13491,-0.03673923,0.0
-316.90059545330155,300.0,14,0.9709739,-0.03949404,0.95,-5.097215,-1099.6408688289666,300.0,1.1430299,-0.036777027,0.0
-175.47484019458602,320.0,15,0.96644896,-0.03196865,1.0,-4.0116563,-796.755067620853,320.0,1.1365917,-0.028571,0.0
-151.48729583198283,340.0,16,0.96384805,-0.030857475,1.0,-4.984748,-888.3013770737542,340.0,1.131047,-0.02683083,0.0
-185.2173328543653,360.0,17,0.9610005,-0.028755823,1.0,-4.1513515,-986.5870817430482,360.0,1.1245694,-0.027932335,0.0
-145.58227673088555,380.0,18,0.9595479,-0.023122737,0.95,-4.7601614,-1042.7855968474446,380.0,1.1224077,-0.02342414,0.0
-76.18780301054232,400.0,19,0.95799065,-0.016905496,1.0,-4.1957073,-984.584320278711,400.0,1.1250808,-0.018765647,0.0
