stats_g/std,stats_o/std,test/episode,stats_g/mean,test/success_rate,stats_o/mean,epoch,test/reward,train/success_rate,test/mean_Q,train/episode,train/reward
0.9605097,1.0916913,20.0,-0.16746075,0.0,-0.22069001,0,-963.4127453805345,0.0,-2.1726344,20.0,-755.3620083442341
0.9834863,1.1455538,40.0,-0.016444502,0.0,-0.014578038,1,-774.3082560245643,0.0,-3.855659,40.0,-980.6554204185753
0.98435915,1.1714401,60.0,0.01932365,0.0,0.07283731,2,-464.4128158653735,0.0,-3.678856,60.0,-665.0876024244083
1.018156,1.2078587,80.0,-0.002563294,0.05,0.03610479,3,-312.1270668843552,0.0,-3.9669766,80.0,-969.5295067214096
1.0199379,1.1988249,100.0,0.008543599,0.1,0.03743782,4,-322.0057152406797,0.0,-4.8561287,100.0,-905.2774117359323
1.0222042,1.1954436,120.0,-0.0067023463,0.3,0.026992287,5,-515.5419908317573,0.0,-5.777135,120.0,-598.4579718972045
1.0215578,1.2072767,140.0,-0.00026089326,0.55,0.04568018,6,-502.5896867028018,0.0,-4.54515,140.0,-1165.581980503606
1.0197377,1.204388,160.0,-0.01595033,0.8,0.03541831,7,-340.49064202991667,0.0,-5.1024637,160.0,-1238.4807346417422
1.0060577,1.1939797,180.0,0.0021369616,0.95,0.055622935,8,-306.3005121870349,0.0,-5.444662,180.0,-1188.971920861755
0.9999901,1.1938206,200.0,-0.008266845,0.95,0.042263508,9,-203.08276178419257,0.0,-4.147277,200.0,-1516.2068986281986
0.9869727,1.1817905,220.0,-0.025194865,1.0,0.03574756,10,-274.12597754108367,0.0,-4.892439,220.0,-999.4646089057073
0.9861581,1.1790053,240.0,-0.017275989,1.0,0.03663517,11,-228.6335237968129,0.0,-4.9017725,240.0,-1078.9795639730733
0.9809594,1.1761628,260.0,-0.017304914,1.0,0.03209569,12,-94.18733240155446,0.0,-4.147254,260.0,-1120.2195850563228
0.9754362,1.1695625,280.0,-0.0024678167,1.0,0.025747692,13,-205.31672544652335,0.0,-3.8667068,280.0,-1016.2393046826053
0.9730352,1.1669724,300.0,-0.015626077,1.0,0.003974284,14,-176.40499439817185,0.0,-4.542226,300.0,-1186.9392146096093
0.97099537,1.1689639,320.0,-0.019137405,1.0,0.002987273,15,-160.1328712919241,0.0,-4.502318,320.0,-1267.9953842334712
0.97041804,1.1674552,340.0,-0.018395718,1.0,0.0039788205,16,-242.87206878872746,0.0,-4.585499,340.0,-1166.1157246603677
0.9655103,1.1589942,360.0,-0.018080382,1.0,0.007326441,17,-110.51335520865813,0.0,-3.8406448,360.0,-674.0264083461425
0.9612021,1.151907,380.0,-0.0104022585,1.0,0.004121372,18,-216.00167895689836,0.0,-4.898803,380.0,-1201.6918848515197
0.9590256,1.148412,400.0,-0.008442297,0.45,0.0111860335,19,-141.28272753307562,0.0,-5.714703,400.0,-679.2820579011737
