epoch,stats_g/mean,train/episode,test/episode,stats_o/mean,train/success_rate,test/reward,train/reward,test/success_rate,stats_o/std,test/mean_Q,stats_g/std
0,-0.15003581,20.0,20.0,-0.10105181,0.0,-1091.2337205492688,-904.5313712660292,0.0,1.1611878,-2.8490431,0.9861622
1,-0.09032872,40.0,40.0,-0.12092947,0.0,-878.7387521298147,-1105.9071593886845,0.0,1.1975093,-3.954539,1.0242276
2,-0.069078974,60.0,60.0,-0.08798033,0.0,-656.4313943188024,-997.0407089525352,0.0,1.1908023,-3.7486973,1.0321257
3,-0.06747857,80.0,80.0,-0.06252414,0.0,-901.1167847715944,-1317.958118346431,0.0,1.1873708,-5.00871,1.0184766
4,-0.07777715,100.0,100.0,-0.072775625,0.0,-422.12137076198565,-1316.9833101743366,0.05,1.1835107,-3.4374797,1.004695
5,-0.05702615,120.0,120.0,-0.056631412,0.0,-355.5866099006858,-716.0011269831009,0.15,1.1822907,-5.3007574,0.99984974
6,-0.0649413,140.0,140.0,-0.051561743,0.0,-562.2133143117866,-1372.7537073166563,0.55,1.1770475,-4.8157396,0.9916954
7,-0.047463227,160.0,160.0,-0.031529367,0.0,-306.5169236479774,-1582.4698839303733,0.55,1.1755245,-3.9622886,0.9882667
8,-0.031327434,180.0,180.0,-0.022790778,0.0,-412.8757790828595,-946.8967813171594,0.95,1.1805449,-4.9523077,0.9901471
9,-0.03139143,200.0,200.0,-0.0333013,0.0,-280.4159757695141,-940.1031826162265,0.9,1.1783357,-5.3886895,0.99026024
10,-0.031000458,220.0,220.0,-0.019812519,0.0,-214.3344750250687,-1399.862410540563,0.95,1.1810391,-5.402746,0.98413634
11,-0.021424584,240.0,240.0,-0.011305528,0.0,-232.38043905684273,-608.4838195704169,0.9,1.1770658,-5.2336426,0.9804737
12,-0.027727444,260.0,260.0,-0.023903163,0.0,-108.6444912754598,-620.6725051184974,1.0,1.1638228,-3.8216565,0.97406423
13,-0.031558465,280.0,280.0,-0.026592271,0.0,-141.6623919079081,-830.1887001952193,0.95,1.1572304,-3.4153419,0.97367895
14,-0.026992965,300.0,300.0,-0.011043365,0.0,-271.6806618701708,-1083.2001601068291,0.9,1.1543593,-4.8412943,0.9706316
15,-0.030200224,320.0,320.0,-0.005141627,0.0,-163.91215688050366,-783.4517181163092,1.0,1.1532753,-4.301284,0.96484673
16,-0.030780017,340.0,340.0,-0.006175491,0.0,-100.7170813842724,-1100.119015626876,1.0,1.1495905,-3.5498748,0.96303654
17,-0.030783072,360.0,360.0,-0.00604502,0.0,-83.97160216150017,-997.1551077290958,1.0,1.1398311,-3.8400369,0.95680034
18,-0.037279844,380.0,380.0,-0.011001209,0.0,-78.62598918512711,-1117.698670649948,1.0,1.1385983,-4.6757116,0.9542182
19,-0.026033238,400.0,400.0,-0.0032905843,0.0,-187.13171708220108,-767.9237418774785,0.95,1.1311834,-4.248189,0.949713
