stats_o/mean,stats_g/mean,stats_o/std,epoch,test/mean_Q,train/episode,test/success_rate,test/reward,train/success_rate,train/reward,test/episode,stats_g/std
-0.16240495,-0.1264696,1.2354436,0,-2.8363025,20.0,0.0,-909.3789309674588,0.0,-1115.8168134048994,20.0,1.0488079
0.03119849,0.04406096,1.225198,1,-3.9041626,40.0,0.0,-900.3498833070347,0.0,-1070.8194975911467,40.0,1.0340542
0.005434694,0.06494457,1.2136154,2,-4.362738,60.0,0.0,-470.7897649586974,0.0,-1052.2803744729981,60.0,1.0385134
-0.03760238,0.049498517,1.1773998,3,-4.8611655,80.0,0.05,-838.9659309068214,0.0,-763.0419024135824,80.0,1.0088272
-0.004930064,0.07255213,1.1733148,4,-4.2155952,100.0,0.3,-611.4556396805498,0.0,-1209.432139358872,100.0,0.9969616
0.028377939,0.07204832,1.1718303,5,-4.440323,120.0,0.25,-476.31850110315895,0.0,-787.5944961631056,120.0,0.9842755
0.040181432,0.07711378,1.1600199,6,-3.8907993,140.0,0.8,-268.67912970800205,0.0,-658.9297209891997,140.0,0.9730293
0.012083273,0.050618365,1.1553206,7,-4.083511,160.0,0.7,-218.6989925874169,0.0,-682.9710909501104,160.0,0.97040963
0.0065781455,0.049506523,1.152873,8,-5.1786566,180.0,0.9,-511.15407460234434,0.0,-1299.2763695366496,180.0,0.9709076
0.0013024118,0.050738737,1.1384251,9,-4.3255105,200.0,0.75,-216.43353358090351,0.0,-1045.6867057220272,200.0,0.95976186
-0.01615088,0.025457464,1.13436,10,-4.2842665,220.0,1.0,-97.20937094742709,0.0,-1122.8975705289104,220.0,0.96206075
-0.017422654,0.022002034,1.129725,11,-4.9159427,240.0,1.0,-311.63527837109797,0.0,-1345.8490858186492,240.0,0.95589375
-0.018681835,0.010758612,1.1298703,12,-4.490196,260.0,1.0,-264.5083519683708,0.0,-974.8660698610473,260.0,0.95827806
-0.023698281,0.0015291485,1.1295772,13,-4.4724436,280.0,1.0,-95.44598277391488,0.0,-886.6906175458732,280.0,0.9597627
-0.027758026,-0.005019629,1.1193949,14,-4.8080363,300.0,1.0,-124.70263474605359,0.0,-782.7184483422194,300.0,0.9558833
-0.019763289,-0.00026064587,1.1184903,15,-4.7005377,320.0,1.0,-159.99420368450234,0.0,-1192.643793142247,320.0,0.95020556
-0.0077628493,0.0010282029,1.12061,16,-3.7400856,340.0,1.0,-174.0316621507178,0.0,-1087.0678894629875,340.0,0.95078367
-0.012071807,0.0019163429,1.1202551,17,-4.187796,360.0,1.0,-169.5050814113875,0.0,-877.4761106410198,360.0,0.94815135
-0.012232996,-0.0021447085,1.1149597,18,-4.3392177,380.0,1.0,-137.0683399889662,0.0,-961.9880070425702,380.0,0.9409027
-0.009422163,-0.0032441122,1.11232,19,-3.967823,400.0,1.0,-133.09449823533913,0.0,-987.1759538879758,400.0,0.9393059
