epoch,test/episode,stats_g/std,stats_o/mean,train/success_rate,train/episode,train/reward,stats_g/mean,test/success_rate,stats_o/std,test/mean_Q,test/reward
0,20.0,1.0092338,0.08627129,0.0,20.0,-783.589095479404,0.13293153,0.0,1.1442398,-3.3230865,-1205.5958891290113
1,40.0,1.0114805,0.057604656,0.0,40.0,-1385.88845606172,0.032095723,0.0,1.1812505,-3.545112,-975.4328590120374
2,60.0,0.97850215,0.053790092,0.0,60.0,-889.8663357483675,0.011030509,0.0,1.1674933,-4.617301,-757.5479211161417
3,80.0,0.9934106,0.051397033,0.0,80.0,-865.9269687202815,0.024097435,0.0,1.1809394,-4.8634844,-1060.764589696286
4,100.0,0.97674704,0.024083056,0.0,100.0,-937.9908014947888,0.013537404,0.1,1.165292,-4.5329285,-591.5065206347415
5,120.0,0.97239125,0.03823418,0.0,120.0,-665.7397909391387,0.018024169,0.15,1.1631558,-5.4101768,-543.8729781342844
6,140.0,0.97418547,0.052959695,0.0,140.0,-1282.2735902231761,0.025474995,0.7,1.1589818,-4.9264603,-204.31049334267007
7,160.0,0.97606677,0.03391062,0.0,160.0,-1310.5623063643502,0.0052641397,0.7,1.1651511,-5.377334,-330.3371414918809
8,180.0,0.97031045,0.033238456,0.0,180.0,-802.6874784884715,0.011235395,1.0,1.1584842,-4.468268,-227.47847112920738
9,200.0,0.9687191,0.04696818,0.0,200.0,-882.5510974692421,0.021104231,1.0,1.1518161,-4.7035933,-283.38647155846087
10,220.0,0.9636031,0.031817175,0.0,220.0,-1089.6845241734668,-0.00062395167,0.95,1.1480285,-4.5462403,-132.13629759993535
11,240.0,0.9590608,0.027203495,0.0,240.0,-979.5324708018054,-0.011087304,1.0,1.1362044,-4.6184244,-237.64915243585085
12,260.0,0.95640516,0.032108333,0.0,260.0,-1047.4747591809512,-0.0026510884,1.0,1.125573,-5.3898616,-99.64382604838035
13,280.0,0.95884377,0.013521105,0.0,280.0,-1137.0571563928197,-0.014775297,1.0,1.1281424,-4.007262,-137.37521409353712
14,300.0,0.96193486,0.0071704295,0.0,300.0,-698.403227069997,-0.015445333,1.0,1.1301839,-4.6643577,-198.19635037082404
15,320.0,0.9584578,-3.4767203e-05,0.0,320.0,-1109.1293817879814,-0.022313334,1.0,1.1244059,-4.1936784,-232.71495314533828
16,340.0,0.9533061,-0.0012281938,0.0,340.0,-489.67795697408906,-0.022446567,0.95,1.1222136,-4.7566605,-142.3508316219583
17,360.0,0.9474926,-0.0022089267,0.0,360.0,-1228.7897510304629,-0.02084504,1.0,1.1167382,-4.249091,-158.88415729188074
18,380.0,0.9438913,-0.0016498491,0.0,380.0,-590.5196120675602,-0.020714236,1.0,1.1115885,-3.7427983,-94.5466354478383
19,400.0,0.9397471,-0.0008940622,0.0,400.0,-851.5518292517261,-0.020753302,1.0,1.1063209,-4.35477,-82.42609050536716
