stats_g/mean,stats_o/mean,test/episode,test/mean_Q,test/reward,test/success_rate,stats_o/std,train/episode,train/reward,stats_g/std,train/success_rate,epoch
-0.08912829,-0.10907221,20.0,-2.7901099,-630.0605535226802,0.0,1.1869484,20.0,-1098.8630222745232,0.96826047,0.0,0
-0.029974006,0.056711484,40.0,-3.8736176,-536.7805906917754,0.0,1.1760603,40.0,-856.935163197414,0.99118245,0.0,1
-0.031269863,0.029874131,60.0,-4.052923,-639.0253503642097,0.0,1.1779047,60.0,-1067.7071924930242,0.9872371,0.0,2
0.0017920532,0.047423743,80.0,-5.7611246,-579.7698904575581,0.0,1.1665672,80.0,-630.9843863179817,0.98831636,0.0,3
0.018579181,0.07548541,100.0,-4.1624804,-525.6202736888572,0.0,1.1352022,100.0,-1011.2360093639393,0.972084,0.0,4
0.0110364,0.048508845,120.0,-4.814584,-218.5794360498661,0.0,1.1480371,120.0,-1030.8661247569132,0.9681008,0.0,5
0.011499126,0.03864442,140.0,-4.5579004,-448.1879811892485,0.55,1.1615051,140.0,-1362.5872879947767,0.97429377,0.0,6
0.018046241,0.031626858,160.0,-4.1143885,-208.1469676338535,0.8,1.1515374,160.0,-735.6946727368144,0.9627736,0.0,7
0.022706382,0.041392654,180.0,-4.7342544,-220.51752699682805,0.8,1.1460985,180.0,-790.9286145207491,0.9600914,0.0,8
0.024454037,0.047976874,200.0,-4.206808,-320.48595862453095,0.95,1.1487713,200.0,-1057.719384425837,0.9563273,0.0,9
0.018671283,0.024617895,220.0,-5.017474,-188.08056376065696,0.95,1.1406505,220.0,-1113.3895025739132,0.9478638,0.0,10
0.01041186,0.007168147,240.0,-4.487708,-183.3016560209205,0.9,1.1336038,240.0,-565.5756025541883,0.9437357,0.0,11
0.0057810512,-0.0019011218,260.0,-4.4054413,-121.60688565508619,0.95,1.1333843,260.0,-1037.4085038104633,0.942111,0.0,12
0.00982349,0.0017308125,280.0,-4.8923388,-145.77195263670433,1.0,1.1281301,280.0,-974.7762364570996,0.939023,0.0,13
0.020385344,0.006101149,300.0,-4.7264147,-161.7242509703833,0.9,1.132934,300.0,-1183.1817660317645,0.9437952,0.0,14
0.026556404,0.007848876,320.0,-4.674262,-193.63611915903783,0.9,1.1285402,320.0,-797.7847411103834,0.94240606,0.0,15
0.02735645,0.01041786,340.0,-4.613162,-109.0955680740833,1.0,1.1252425,340.0,-822.8668135400628,0.9404253,0.0,16
0.026560634,0.0048467005,360.0,-4.556137,-101.87181808656683,1.0,1.1236262,360.0,-1191.351846925819,0.9416673,0.0,17
0.023325913,0.0065958733,380.0,-4.0223045,-125.8844080360916,0.95,1.1202837,380.0,-582.3848233124446,0.9407889,0.0,18
0.025981667,0.009463269,400.0,-4.705518,-93.39243917702491,1.0,1.1150564,400.0,-1364.443513125792,0.93838596,0.0,19
